Référence;type media;contenu;type auteur;langue;URL;Titre;Auteur;A QUI ?
Accilien, Selmy. « Selmy Accilien poète », s. d. https://www.facebook.com/www.revedemuse.livre/.;facebook;;;fr, créole;https://www.facebook.com/www.revedemuse.livre/.;« Selmy Accilien poète »;Accilien, Selmy. «;Célian
Annonyme. « blogueuse haïtienne (limite littérature) ». La loi de ma bouche, s. d. https://laloidemabouche.ht/.;blog;prise de positions;auteur numérique anonyme;fr, créole;https://laloidemabouche.ht/.;« blogueuse haïtienne (limite littérature) »;not matched;Célian
———. « Des fleurs et des Poèmes, La littérature comme arme ». Blog Wordpress. Consulté le 28 octobre 2019. https://desfleursetdespoemes.wordpress.com/.;blog;;écritures collectives, individuelle;fr, créole;https://desfleursetdespoemes.wordpress.com/.;« Des fleurs et des Poèmes, La littérature comme arme »;not matched;Célian
Apollon, Pascal. « Poète, slameur... » Page Facebook, s. d. https://www.facebook.com/pascal.apollon?__tn__=CH-R&eid=ARCWH-Ao6Ze4LavcRmY_nfsiDjRzpgVqnChwnXPE68lxine0wvd-xyFKSrQfx9nv7rbI3wZNi2oIYT-P&hc_ref=ARTyudIX4FvLVi_kkEjgprkV9mkqILib1oWNA_wnTbjJ5c4UN8LoaHgER_IBBs2BiFU&fref=nf&__xts__[0]=68.ARAA62jgYn-vkwA1v2QS4IGDrL818fmgnHRiBjZyDPbfoRubJKYElvBv9Mmi1dznRNJcs2TtgTqIy3-ZL-TOaL9lWDM3xTDkhDSXmGPTQkq6YV2aVRMOs6qjSQUBFrhRz9EthK9UxJC9RDrjX-Rgi_Q3sLsIXBScDaxVQukxlqBU_nwyP4iwBEqGPjFfRHMqFJnqymWWEy62LXUftVBXrebMQK2X8SZuuyMWFCzBkJi0SptTxT2ttusH28rBqN8W_d_ryesb3QGGCxjyx9NHg51f1zj480K-vxwRx1TYJPWoNmtdlKkNd3rZY7bugdl1DnmBzTfvPzO_rMtpDDvHWw.;facebook;;auteur;; https://www.facebook.com/pascal.apollon?__tn__=CH-R&eid=ARCWH-Ao6Ze4LavcRmY_nfsiDjRzpgVqnChwnXPE68lxine0wvd-xyFKSrQfx9nv7rbI3wZNi2oIYT-P&hc_ref=ARTyudIX4FvLVi_kkEjgprkV9mkqILib1oWNA_wnTbjJ5c4UN8LoaHgER_IBBs2BiFU&fref=nf&__xts__[0]=68.ARAA62jgYn-vkwA1v2QS4IGDrL818fmgnHRiBjZyDPbfoRubJKYElvBv9Mmi1dznRNJcs2TtgTqIy3-ZL-TOaL9lWDM3xTDkhDSXmGPTQkq6YV2aVRMOs6qjSQUBFrhRz9EthK9UxJC9RDrjX-Rgi_Q3sLsIXBScDaxVQukxlqBU_nwyP4iwBEqGPjFfRHMqFJnqymWWEy62LXUftVBXrebMQK2X8SZuuyMWFCzBkJi0SptTxT2ttusH28rBqN8W_d_ryesb3QGGCxjyx9NHg51f1zj480K-vxwRx1TYJPWoNmtdlKkNd3rZY7bugdl1DnmBzTfvPzO_rMtpDDvHWw.;« Poète, slameur... »;Apollon, Pascal. «;Célian
ASCODELA, Association. « Association ASCODELA ». Association ASCODELA. Consulté le 19 février 2019. http://ascodela.over-blog.com/.;blog;;association;;http://ascodela.over-blog.com/.;« Association ASCODELA »;ASCODELA, Association. «;Célian
Bidler, Nelson. « blog avec oeuvres diverses ». Facebook, s. d. https://www.facebook.com/magiepoetique/.;facebook;actualité + poésie;auteur;;https://www.facebook.com/magiepoetique/.;« blog avec oeuvres diverses »;Bidler, Nelson. «;Célian
« Blog de Jessica Nazaire, poésie Haïti », s. d. https://leepluma.blogspot.com/.;blog;supprimé;supprimé;supprimé;https://leepluma.blogspot.com/.;« Blog de Jessica Nazaire, poésie Haïti »;not matched;Célian
« blog d’écrivain haïtien. Considéré comme revue », s. d. https://magiepoetique.blogspot.com/.;blog;supprimé;supprimé;supprimé;https://magiepoetique.blogspot.com/.;« blog d’écrivain haïtien. Considéré comme revue »;not matched;Célian
Bonel, Auguste. « Poèmes », s. d. https://armorpassion.com/poesie/poesie%20virtuelle/Auguste%20Bonel/Auguste%20Bonel.htm.;site poesie;fiche auteur + poesies;;;https://armorpassion.com/poesie/poesie%20virtuelle/Auguste%20Bonel/Auguste%20Bonel.htm.;« Poèmes »;Bonel, Auguste. «;Célian
Bonhomme, Adlyne. Adlyne Bonhomme, s. d. https://short-edition.com/fr/auteur/adlyne-bonhomme.;blog;poesie + nouvelle;;;https://short-edition.com/fr/auteur/adlyne-bonhomme.;not matched;not matched;Célian
