id;label
Paulette_Poujol_Oriol;Paulette Poujol Oriol
Joseph_Poujol;Joseph Poujol
Therese_Colimon;Thérèse Colimon
Henri_Deschamps;Henri Deschamps
Pradel_Pompilus;Pradel Pompilus
Poujol_Oriol;Poujol Oriol
Coralie_Santeuil;Coralie Santeuil
Rene_Belance;René Bélance
Saint_Amand_Edris;Saint-Amand Edris
Roumain_Jacques;Roumain Jacques
LeOn_Emile_Georges;Léon-Emile Georges
Archive_Of_Hispanic_Literature_On_Tape_Library_Of_Congress;Archive of Hispanic Literature on Tape Library of Congress
Depestre_Rene;Depestre René
Emmelie_Prophete;Emmelie Prophète
Wiener_Jacqueline;Wiener Jacqueline
Voltaire_Marcelin_Michele;Voltaire Marcelin Michèle
Vincent_Nedjmhartine;Vincent Nedjmhartine
Valcin_Cleante;Valcin Cléante
Trouillot_Evelyne;Trouillot Évelyne
Theard_Marie_Alice;Théard Marie-Alice
Tennstedt_Antje;Tennstedt Antje
Tavernier_Janine;Tavernier Janine
Younsi_Ouanessa;Younsi Ouanessa
Trouillot_Lyonel;Trouillot Lyonel
Chauvet_Marie;Chauvet Marie
Edmond_Laforest;Edmond Laforest
Jean_Brierre;Jean Brierre
Normil Sylvain_G;Normil G. Sylvain
Cincinnatus_Leconte;Cincinnatus Leconte
Emile_Roumer;Émile Roumer
Elsie_Surena;Elsie Suréna
Descoteaux_Diane;Descôteaux Diane
Michele_Voltaire_Marcelin;Michèle Voltaire Marcelin
Marlene_Rigaud_Apollon;Marlène Rigaud Apollon
Mere_Marie_Lange;Mère Marie Lange
Louis_Mercier;Louis Mercier
Odette_Roy_Fombrun;Odette Roy Fombrun
Domingue_De_Moreau_De_Saint;Domingue de Moreau de Saint
Madame_Fombrun;Madame Fombrun
Francois_Duvalier;François Duvalier
Marcel_Fombrun;Marcel Fombrun
Franck_Laraque;Franck Laraque
Gerard_Barthelemy;Gérard Barthélemy
Konbit_Clinic;Konbit Clinic
Fonds_Educatif;Fonds Éducatif
Touris_Lakay;Touris Lakay
Makenzy_Orcel;Makenzy Orcel
Georges_Sylvain;Georges Sylvain
Roland_Paret;Roland Paret
Tatsuno_Michiko;Tatsuno Michiko
Voltaire_Frantz;Voltaire Frantz
Lafontant_Carl;Lafontant Carl
Kip;KIP
Duret_Marcel;Duret Marcel
Douyon_Frantz;Douyon Frantz
Cave_Syto;Cavé Syto
Azor;Azor
Alix_Renaud;Alix Renaud
Marquez_De_Quebec;Márquez de Québec
Alain_Beaulieu;Alain Beaulieu
Stanley_Pean;Stanley Péan
Jean_Desy;Jean Désy
Jeannot_Turcotte;Jeannot Turcotte
Michel_Borgeat;Michel Borgeat
Ralph_Cote;Ralph Côté
Michelle_Lavallee;Michelle Lavallée
Jacques_Stephen_Alexis;Jacques Stephen Alexis
Tetu_Michel;Tetu Michel
Laroche_Maximilien;Laroche Maximilien
Coates Carrol_F;Coates Carrol F
Schlicht_Paul;Schlicht Paul
Gallimard;Gallimard
Alexis_Florence;Alexis Florence
Skanderova_Lea;Škanderová Lea
ZieBina_Maria;Ziębina Maria
Outratova_Eva;Outratová Eva
Немчинова_Наталья_Ивановна;Немчинова Наталья Ивановна
Rajandi_Henno;Rajandi Henno
Maximilien_Laroche;Maximilien Laroche
Jacques_Dessalines;Jacques Dessalines
Du_Gouvernement;Du Gouvernement
President_Lescot;Président Lescot
Rene_Depestre;René Depestre
Compere_General_Soleil;Compère Général Soleil
Dantes_Bellegarde;Dantès Bellegarde
Sylvain_Georges;Sylvain Georges
MeNos_Solon;Ménos Solon
Duval_A;Duval A
Cook_Mercer;Cook Mercer
Charles_Louis;Charles Louis
Vincent_SteNio;Vincent Sténio
Jean_Durosier_Desrivieres;Jean-Durosier Desrivières
Durosier_Desrivieres;Durosier Desrivières
