Source;Target;Target2Type;
Accilien_Selmy;https://www.facebook.com/www.revedemuse.livre/;www.facebook.com;lifranum_db
Alix_Renaud;http://ile-en-ile.org/alix-renaud-poemes/;ile-en-ile.org;ile_en_ile
Alix_Renaud;http://www3.sympatico.ca/alix.renaud/;www3.sympatico.ca;ile_en_ile
Alix_Renaud;https://youtu.be/j00ZarXgz5g;youtu.be;ile_en_ile
Alix_Renaud;https://youtu.be/C1P65X3rhZU;youtu.be;ile_en_ile
Alix_Renaud;http://www3.sympatico.ca/diamantbleu/accueil.html;www3.sympatico.ca;ile_en_ile
Alix_Renaud;http://www.litterature.org/recherche/ecrivains/renaud-alix-389/;www.litterature.org;ile_en_ile
Alix_Renaud;http://www.litterature.org/recherche/ecrivains/renaud-alix-389/;www.litterature.org;ile_en_ile
Alix_Renaud;http://www.potomitan.info/ayiti/renaud.php;www.potomitan.info;ile_en_ile
Alix_Renaud;http://www.uefs.br/sitientibus/sitientibus_9/entrevista.pdf;www.uefs.br;ile_en_ile
Alix_Renaud;http://newsgroups.derkeiler.com/Archive/Soc/soc.culture.haiti/2005-11/msg00159.html;newsgroups.derkeiler.com;ile_en_ile
Alix_Renaud;http://www.mondokarnaval.com/alix_chronique_2016.html;www.mondokarnaval.com;ile_en_ile
Alix_Renaud;http://www3.sympatico.ca/alix.renaud/grac_esp.html;www3.sympatico.ca;ile_en_ile
Alix_Renaud;http://fr.wiktionary.org/wiki/pompion;fr.wiktionary.org;ile_en_ile
Alix_Renaud;https://www.thecaribbeancurrent.com/quebec-awards-alix-renaud-for-excellence-in-arts-and-culture/;www.thecaribbeancurrent.com;ile_en_ile
Alix_Renaud;http://www.voir.ca/;www.voir.ca;ile_en_ile
Alix_Renaud;https://voir.ca/livres/2000/02/10/alix-renaud-ovation/;voir.ca;ile_en_ile
Anderson_Dovilas;http://ile-en-ile.org/anderson-dovilas-pwezi-pefomans/;ile-en-ile.org;ile_en_ile
Anderson_Dovilas;http://ile-en-ile.org/anderson-dovilas-la-nuit-nest-pas-le-premier-secret-des-baisers-bleus/;ile-en-ile.org;ile_en_ile
Anderson_Dovilas;http://ile-en-ile.org/anderson-dovilas-trois-poemes/;ile-en-ile.org;ile_en_ile
Anderson_Dovilas;http://dovanderson.over-blog.com/;dovanderson.over-blog.com;ile_en_ile
Anderson_Dovilas;http://www.harmattan.fr/index.asp?navig=catalogue&obj=livre&no=43605;www.harmattan.fr;ile_en_ile
Anderson_Dovilas;http://www.francopolis.net/revues/Dovilas-mai2012.html;www.francopolis.net;ile_en_ile
Anderson_Dovilas;http://spcreolophone.blogvie.com/;spcreolophone.blogvie.com;ile_en_ile
Anderson_Dovilas;http://www.lemanoirdespoetes.fr/poemes-anderson-dovilas.php;www.lemanoirdespoetes.fr;ile_en_ile
Anderson_Dovilas;http://www.paroleenarchipel.org/;www.paroleenarchipel.org;ile_en_ile
