'nom domain';'nb';QUI ?
'twitter.com';291;Ines
'www.facebook.com';145;Anais
'ile-en-ile.org';92;Celian
'';85;
'www.youtube.com';70;Ines
'africultures.com';69;Anais
'poesienomade.blogspot.com';60;Celian
'welovewords.com';47;Ines
'fr.wikipedia.org';24;Anais
'ridalamrini.blogspot.com';21;Celian
'www.librairiemauricienne.com';16;Ines
'wwwjohablogspotcom-kaouah.blogspot.com';12;Anais
'www.nocomment.mg';11;Celian
'malika-madi.blogspot.com';10;Ines
'www.youscribe.com';9;Anais
'www.theatre-contemporain.net';8;Celian
'revueprojectiles.com';8;Ines
'vimeo.com';8;Anais
'patrimages.over-blog.com';8;Celian
'blogs.mediapart.fr';8;Ines
'www.dailymotion.com';8;Anais
'short-edition.com';7;Celian
'www.instagram.com';6;Ines
'fliesfrance.free.fr';6;Anais
'www.le-tigre.net';6;Celian
'www.cairn.info';6;Ines
'journals.openedition.org';6;Anais
'www.poemes.co';6;Celian
'onlinelibrary.wiley.com';6;Ines
'www.edilivre.com';6;Anais
'www.jeuneafrique.com';5;Celian
'www.rfi.fr';5;Ines
'tel.archives-ouvertes.fr';5;Anais
'www.lemonde.fr';5;Celian
'www.indereunion.net';5;Ines
'www.nytimes.com';5;Anais
'soundcloud.com';5;Celian
'frank.halison.free.fr';5;Ines
'www.wattpad.com';5;Anais
'diacritik.com';5;Celian
'editions-komedit.com';5;Ines
'www.scribay.com';4;
'www.lesrencontresalechelle.com';4;
'tyitelle.wordpress.com';4;
'www.lexpress.mu';4;
'www.tupeloquarterly.com';4;
'www.babelio.com';4;
'sceneweb.fr';4;
'mabelhad.wordpress.com';4;
'7lameslamer.net';4;
'passionlivresquethomasylvianauteure.over-blog.com';4;
'muzdalifahouse.com';4;
'remue.net';4;
'mwendje.centerblog.net';4;
'larencore.blogspot.com';4;
'www.francopolis.net';4;
'ethiopiques.refer.sn';4;
'poesie.webnet.fr';4;
'kalamudesiles.com';4;
'ecriture-livres.fr';4;
'www.habarizacomores.com';4;
'www.plume-de-poete.fr';4;
'www.sitaudis.fr';4;
'www.ecampo.fr';4;
'cocksgeorges.jimdo.com';3;
'www.seneplus.com';3;
'web.archive.org';3;
'www.agence-presse-k.fr';3;
'jphaga.canalblog.com';3;
'data.bnf.fr';3;
'houdaer.hautetfort.com';3;
'stephane-hoarau.blogspot.com';3;
'tribune2lartiste.com';3;
'lamarerouge.hautetfort.com';3;
'poetes-de-la-lune.over-blog.com';3;
'avarapatana.mondoblog.org';3;
'www.lechasseurabstrait.com';3;
'www.tierslivre.net';3;
'www.maurice-nadeau.net';3;
'petercenas-com.over-blog.com';3;
'kader-mourtadhoi.iggybook.com';3;
'andre.rober.free.fr';3;
'patpantin.over-blog.com';3;
'patrick.dubost.free.fr';3;
'magiepoetique.blogspot.com';3;
'vaovao.org';3;
'koze.mu';3;
'joharyravaloson.canalblog.com';3;
'raynaldoplouis.over-blog.com';3;
'editionska.com';3;
'armand.le.poete.free.fr';3;
'www.charles-pennequin.com';3;
'www.kratochvil.tv';3;
'lefeucentral.blogspot.com';3;
'www.nouvelle-quinzaine-litteraire.fr';3;
'l-oeil-bande.blogspot.com';3;
'agir.avec.madagascar.over-blog.com';3;
'ascodela.over-blog.com';3;
'www.beatricebrerot.net';3;
'www.artmajeur.com';3;
'www.agora-francophone.org';3;
'www.courrierinternational.com';3;
'www.samantha-barendson.com';3;
'joalblog.wordpress.com';3;
'joubertjoseph.blogspot.com';3;
'repertoire-artistestunisiens.com';3;
'halidiallaoui.over-blog.com';3;
'www.ipj.news';3;
'autofictif.blogspot.com';3;
'information.tv5monde.com';3;
'upoesis.wordpress.com';3;
'www.lauralisavazquez.com';3;
'insomniesetartpostal.blogspot.com';3;
'sammysapin.blogspot.com';3;
'www.fyctia.com';3;
'www.publie.net';3;
