id_auth;content;type;ana
Paulette_Poujol_Oriol;Paulette Poujol Oriol;PER;
Paulette_Poujol_Oriol;Port-au-Prince;LOC;
Paulette_Poujol_Oriol;Haïti;LOC;
Paulette_Poujol_Oriol;Paris;LOC;
Paulette_Poujol_Oriol;Haïti;LOC;
Paulette_Poujol_Oriol;Institut Commercial;LOC;
Paulette_Poujol_Oriol;Joseph Poujol;PER;
Paulette_Poujol_Oriol;Paulette;PER;
Paulette_Poujol_Oriol;École Normale;ORG;
Paulette_Poujol_Oriol;Port-au-Prince;LOC;
Paulette_Poujol_Oriol;Jamaïque;LOC;
Paulette_Poujol_Oriol;London Institute of Commerce and Business Administration;ORG;
Paulette_Poujol_Oriol;Collège Saint François d’;ORG;
Paulette_Poujol_Oriol;Marie;PER;
Paulette_Poujol_Oriol;Thérèse Colimon;PER;
Paulette_Poujol_Oriol;École Nationale;ORG;
Paulette_Poujol_Oriol;Jardinières d’;PER;
Paulette_Poujol_Oriol;Colimon;PER;
Paulette_Poujol_Oriol;Université Quisqueya;ORG;
Paulette_Poujol_Oriol;Port-au-Prince;LOC;
Paulette_Poujol_Oriol;Paulette Poujol Oriol;PER;
Paulette_Poujol_Oriol;Piccolo Teatro;LOC;
Paulette_Poujol_Oriol;Théâtre de l’École Nationale des Arts;LOC;
Paulette_Poujol_Oriol;Féministe;PER;
Paulette_Poujol_Oriol;Ligue Féminine d’;ORG;
Paulette_Poujol_Oriol;Action Sociale;ORG;
Paulette_Poujol_Oriol;Pradel Pompilus;PER;
Paulette_Poujol_Oriol;L’;LOC;
Paulette_Poujol_Oriol;Oriol;PER;
Paulette_Poujol_Oriol;Poujol Oriol;PER;
Paulette_Poujol_Oriol;Coralie Santeuil;PER;
Paulette_Poujol_Oriol;Port-au-Prince;LOC;
Paulette_Poujol_Oriol;Pétion;LOC;
Paulette_Poujol_Oriol;Ville;LOC;
Paulette_Poujol_Oriol;Christ;PER;
Paulette_Poujol_Oriol;Poujol Oriol;PER;
Paulette_Poujol_Oriol;Paulette Poujol Oriol;PER;
Paulette_Poujol_Oriol;Paulette Poujol Oriol;PER;
Paulette_Poujol_Oriol;Port-au-Prince;LOC;
Paulette_Poujol_Oriol;Joëlle Vitiello;PER;
Rene_Belance;René Bélance;PER;
Rene_Belance;Corail;LOC;
Rene_Belance;Haïti;LOC;
Rene_Belance;René Bélance;PER;
Rene_Belance;Bélance;PER;
Rene_Belance;s’;PER;
