orig;type_;langue;collectif;
adaptation au théatre;theatre;;FAUX;
textes de jean-claude charles sur île en île et dans boutures;texte en lignes;;FAUX;
poésie parue dans des ouvrages collectifs;poesie;;VRAI;
ouvrages collectifs, numéros spéciaux;recceuil;;VRAI;
lectures et présentations;lecture publique/conference;;FAUX;
in english;;english;FAUX;
articles critiques de marie-alice théard en ligne;articles/essais;;FAUX;
tirages limités;beaux-livres;;FAUX;
essais historiques;articles/essais;;FAUX;
récit;roman;;FAUX;
textes de syto cavé mis en musique;chanson/musique;;FAUX;
jean-claude fignolé (1941-2017) – hommages;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de franz benjamin;autour de l'�uvre / de l'auteur;;FAUX;
romans en anglais;roman;anglais;FAUX;
gary klang dans des anthologies;autour de l'�uvre / de l'auteur;;VRAI;
monographies et études;autour de l'�uvre / de l'auteur;;FAUX;
sur cléante valcin;autour de l'�uvre / de l'auteur;;FAUX;
travaux universitaires sur rené depestre;autour de l'�uvre / de l'auteur;;FAUX;
conférences à l’étranger;lecture publique/conference;;FAUX;
essais, articles sélectionnés;articles/essais;;FAUX;
nouvelles sélectionnées;nouvelles;;FAUX;
romans (écrits avec pierre marcelin);roman;;VRAI;
poésie (en français);poesie;;FAUX;
sur stéphen alexis;autour de l'�uvre / de l'auteur;;FAUX;
ouvrages historiques;ouvrages historiques;;FAUX;
adaptations de poèmes de bonel auguste;poesie;;FAUX;adaptation
représentations théâtrales en france;theatre;;FAUX;
adaptations de poèmes de gary augustin;poesie;;FAUX;adaptation
distinctions;distinctions;;FAUX;
entretiens;entretiens;;FAUX;
sur justin lhérisson;autour de l'�uvre / de l'auteur;;FAUX;
textes publiés dans des ouvrages collectifs;;;VRAI;
gérald bloncourt (1926-2018), hommages;autour de l'�uvre / de l'auteur;;FAUX;
volume ii (1977);;;FAUX;
sur l’oeuvre de claude pierre;autour de l'�uvre / de l'auteur;;FAUX;
sur michèle voltaire marcelin;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre d’antoine innocent;autour de l'�uvre / de l'auteur;;FAUX;
textes de lyonel trouillot en ligne;texte en lignes;;FAUX;
nouvelles / short stories;nouvelles;;FAUX;
poésie-jeunesse;poesie;;FAUX;jeunesse
sur île en île, deux poèmes d’ida faubert;autour de l'�uvre / de l'auteur;;FAUX;
romans et récits;roman;;FAUX;
textes parus dans la presse et dans des ouvrages collectifs;essais/articles;;VRAI;
textes et présence de james noël;;;FAUX;
sur l’oeuvre de stanley péan;autour de l'�uvre / de l'auteur;;FAUX;
en russe et ukrainien;; russe/ukrainien;FAUX;
photographie de gérald bloncourt (albums);photographie;;FAUX;
conte;conte;;FAUX;
éditions critiques et traductions;essais/articles;;FAUX;
nouvelles, récits et poèmes dans des ouvrages collectifs;;;VRAI;
textes de josaphat-robert large disponibles sur île en île;texte en lignes;;FAUX;
distinctions littéraires;distinctions;;FAUX;
éditions critiques posthumes;autour de l'�uvre / de l'auteur;;FAUX;
poésie parue dans des ouvrages collectifs (sélections);poesie;;VRAI;
articles et textes sélectionnés;essais/articles;;FAUX;
café-théâtre;theatre;;FAUX;
sur l’oeuvre de myriam j.a. chancy;autour de l'�uvre / de l'auteur;;FAUX;
textes de frankétienne enregistrés et mis en musique;chanson/musique;;FAUX;
sur l’oeuvre d’oswald durand;autour de l'�uvre / de l'auteur;;FAUX;
filmographie;filmographie;;FAUX;
sur anténor firmin;autour de l'�uvre / de l'auteur;;FAUX;
articles séléctionnés;essais/articles;;FAUX;
