ID;Nom;Prenoms;VIAF;sex or gender;spla_pro;Ile_en_Ile;date of birth;place of birth;country_birth;date of death;place of death;country_death;country of citizenship;occupation;languages spoken, written or signed;WorldCat Identities ID;ORCID iD;Wiki_ID;ISNI;VIAF
;Accilien;Cécile;;female;cecile-accilien_22014;;1973;;;;;;"United States of America;Haiti";researcher;English;;;;0000 0000 7103 8269;121070806
;Accilien;Selmy;;male;;;24/12/1992;Gonaïves;Haiti;;;;Haiti;"poet;writer";Haitian Creole;;;Q61108056;0000 0004 5970 9209;1,07E+20
;Agnant;Marie-Célie;;female;;agnant;01/01/1953;Port-au-Prince;Haiti;;;;Canada;"poet;writer;novelist";French;lccn-n95091431;;Q3291756;0000 0000 7731 5095;17470529
;Alexis;Jacques-Stephen;;male;;alexis_jacques-stephen;22/04/1922;Gonaïves;Haiti;01/04/1961;Haiti;Haiti;Haiti;"politician;writer;novelist;poet;neurologist";French;lccn-n84056306;;Q3031679;"0000 0003 6864 3558; 0000 0001 2137 9361";68924500
;Clorméus;Lewis Ampidu ;;masculin;;;1981;;;;;;Haïti;researcher;French;;;;0000 0004 1994 0721;305322777
;Andou;Ange Bellie;;female;;;;;;;;;Haïti;"novelist;writer;actor";French;;;;;121606842
;Anglade;Georges;;male;;anglade;18/07/1944;Port-au-Prince;Haiti;12/01/2010;Port-au-Prince;Haiti;Haiti;"geographer;politician;writer;university teacher";French;lccn-n82125798;;Q1508785;0000 0001 2129 0383;39504226
;Apollon;Pascal;;male;;;16/06/1994;;;;;;Haiti;"poet;writer";French;;;;0000 0004 7421 4140 ;
;Armand;Margaret Mitchell;;female;;;;;;;;;"United States of America;Haiti";researcher;English;;;;;1,54E+20
;Attilus;Rhoddy;;male;;;1975;;;;;;Haïti;novelist;Haitian Creole;;;;;1,54E+20
;Attoumani;Nassur;;male;;attoumani;05/03/1954;Moroni;Comoros;;;;France;"writer;playwright";French;lccn-no93016826;;Q3336266;0000 0000 8254 9558;67607725
;Augustave;Elsie;;female;;;;Haiti;Haiti;;;;"Haiti;United States of America";"author;choreographer";;;;Q19663803;;
;Auguste;Bonel;;male;;auguste;06/03/1973;Port-au-Prince;Haiti;;;;Haiti;librarian;French;lccn-n2014061250;;Q16945858;0000 0004 1018 7235;304726217
;Augustin;Gary;;male;;augustin;01/01/1958;Port-au-Prince;Haiti;01/01/2014;;;Haiti;writer;;lccn-n97003568;;Q16946325;0000 0000 3524 7848;23875210
;Azor;Rodianco Fils;;male;;;1990;;;;;;Haïti;"poet;novelist";;;;;;
;Baco;Abdou S. ;;male;;baco;06/01/1965;Mayotte;France;;;;France;writer;French;lccn-n93056800;;Q4665140;0000 0001 1473 2868;59132516
;Barthélémy;Elodie;;female;;;1965;;;;;;"Haïti;France";researcher;;;;;;1,90E+21
;Barthélémy;Mimi;;female;;barthelemy;03/05/1939;Port-au-Prince;Haiti;27/04/2013;Paris;France;Haiti;"writer;novelist;actor";French;lccn-nr96016794;;Q16266631;0000 0001 2122 3252;17257872
;Bastien;Barbara;;female;;;;;;;;;;researcher;;;0000-0003-3446-894X;Q88413613;;
