ID_dataset;etat_civil;nom;prenoms;sexe_genre;spla_pro;ile_en_ile;date_naissance;annee_naissance;lieu_naissance;pays_naissance;date_deces;annee_deces;lieu_deces;pays_deces;pays_nationalite-1;pays_nationalite-2;nationalite;profession_1;profession_2;profession_3;langue_1;langue_2;ORCID;Wiki;ISNI;VIAF;website;wikipage_en;len_wiki_en;wikipage_fr;len_wiki_fr;wikipage_ht;len_wiki_ht
02_AU;Accilien Selmy;Accilien;Selmy;m;;;24/12/1992;1992;Gonaïves;Haïti;;;;;Haïti;;haïtienne;poète;écrivain;;Créole;;;Q61108056;0000 0004 5970 9209;1,07E+20;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Selmy_Accilien;1741
01_AU;Accilien Cécile;Accilien;Cécile;f;cecile-accilien.22014;;;1973;;;;;;;Haïti;États-Unis;américano-haïtienne;universitaire;;;Anglais;;;;0000 0000 7103 8269;121070806;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
03_AU;Adodo Marie Ketline;Adodo;Marie Ketline;f;ketline-adodo.33977;;07/01/1953;1953;Jacmel;Haïti;;;;;Haïti;Togo;togolaise-haïtienne;poète;écrivain;;Français;;;;0000 0000 0101 9820;51854910;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
04_AU;Agnant Marie-Célie;Agnant;Marie-Célie;f;marie-celie-agnant.5619;agnant;01/01/1953;1953;Port-au-Prince;Haïti;;;;;Haïti;Canada;canado-haïtienne;poète;écrivain;romancier;Français;;;Q3291756;0000 0000 7731 5095;17470529;#N/A;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;3800;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;5886;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;2142
05_AU;Andou Ange Bellie;Andou;Ange Bellie;f;ange-bellie-andou.40341;;;1980;;;;;;;Haïti;;haïtienne;romancier;écrivain;acteur;Français;;;;;121606842;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
06_AU;Anglade Georges;Anglade;Georges;m;georges-anglade.14050;anglade;18/07/1944;1944;Port-au-Prince;Haïti;12/01/2010;2010;Port-au-Prince;Haïti;Haïti;;haïtienne;universitaire;politicien;écrivain;Français;;;Q1508785;0000 0001 2129 0383;39504226;#N/A;https://en.wikipedia.org/wiki/Georges_Anglade;5508;https://fr.wikipedia.org/wiki/Georges_Anglade;8303;https://ht.wikipedia.org/wiki/Georges_Anglade;3542
07_AU;Apollon Pascal;Apollon;Pascal;m;;;16/06/1994;1994;;;;;;;Haïti;;haïtienne;poète;écrivain;;Français;;;;0000 0004 7421 4140 ;9,15E+18;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
08_AU;Armand Margaret Mitchell;Armand;Margaret Mitchell;f;margaret-mitchell-armand.39598;;14/04/1950;1950;;Haïti;17/03/2016;2016;Miami;États-Unis;Haïti;États-Unis;américano-haïtienne;universitaire;;;Anglais;;;;;;http://www.margaretmitchellarmand.com/;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
09_AU;Attilus Rhoddy;Attilus;Rhoddy;m;rhoddy-attilus.43531;;;1975;;;;;;;Haïti;;haïtienne;romancier;;;Créole;;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
10_AU;Attoumani Nassur;Attoumani;Nassur;m;nassur-attoumani.14082;attoumani;05/03/1954;1954;Moroni;Comoros;;;;;Comoros;;comorienne;écrivain;dramaturge;;Français;;;Q3336266;0000 0000 8254 9558;67607725;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Nassur_Attoumani;8732;https://ht.wikipedia.org/wiki/Nassur_Attoumani;2963
11_AU;Augustave Elsie;Augustave;Elsie;f;elsie-augustave.39629;;;;;;;;;;Haïti;États-Unis;américano-haïtienne;écrivain;;;Français; Anglais;;Q19663803;0000 0004 1027 0207;304611590;http://www.elsieaugustave.com/;https://en.wikipedia.org/wiki/Elsie_Augustave;3348;#N/A;#N/A;https://ht.wikipedia.org/wiki/Elsie_Augustave;1001
12_AU;Auguste Bonel;Auguste;Bonel;m;bonel-auguste.14053;auguste;06/03/1973;1973;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;bibliothécaire;;;Français;;;Q16945858;0000 0004 1018 7235;304726217;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Bonel_Auguste;840
13_AU;Augustin Gary;Augustin;Gary;m;gary-augustin.14054;augustin;01/01/1958;1958;Port-au-Prince;Haïti;01/01/2014;2014;;;Haïti;;haïtienne;écrivain;;;Français;;;Q16946325;0000 0000 3524 7848;23875210;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Gary_Augustin;905
14_AU;Azor Rodianco Fils;Azor;Rodianco Fils;m;rodianco-fils-azor.32629;;;1990;;;;;;;Haïti;;haïtienne;poète;romancier;;Français;;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
15_AU;Baco Abdou S. ;Baco;Abdou S. ;m;abdou-s-baco.14055;baco;06/01/1965;1965;Mzoizia;Mayotte;;;;;Mayotte;;française;écrivain;;;Français;;;Q4665140;0000 0001 1473 2868;59132516;#N/A;https://en.wikipedia.org/wiki/Abdou_Baco;1995;#N/A;#N/A;https://ht.wikipedia.org/wiki/Abdou_Baco;691
16_WIKI;Jean-Claude Bajeux;Bajeux;Jean-Claude;m;;;17/09/1931;1931;Port-au-Prince;Haïti;05/08/2011;2011;Port-au-Prince;Haïti;Haïti;;haïtienne;militant;enseignant;écrivain;Français;;;Q6169086;0000 0000 5511 6239;55290165;#N/A;https://en.wikipedia.org/wiki/Jean-Claude_Bajeux;13483;https://fr.wikipedia.org/wiki/Jean-Claude_Bajeux;7730;https://ht.wikipedia.org/wiki/Jean-Claude_Bajeux;1284
