ID_dataset;Etat_civil;Nom;Prenoms;sexe_genre;spla.pro;Ile_en_Ile;date of birth;YEAR birth;place of birth;country_birth;date of death;year death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF;Website;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht
AU;Accilien Cécile;Accilien;Cécile;f;cecile-accilien.22014;;;1973;;;;;;;"United States of America;Haiti";researcher;English;;;0000 0000 7103 8269;121070806;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Accilien Selmy;Accilien;Selmy;m;;;24/12/1992;1992;Gonaïves;Haiti;;;;;Haiti;"poet;writer";Haitian Creole;;Q61108056;0000 0004 5970 9209;1,07E+20;#N/A;0;0;https://ht.wikipedia.org/wiki/Selmy_Accilien;#N/A;#N/A;1741
AU;Adodo Marie Ketline;Adodo;Marie Ketline;f;ketline-adodo.33977;;07/01/1953;1953;Jacmel;Haiti;;;;;"Haiti;Togo";"poet;writer";French;;;0000 0000 0101 9820;51854910;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Agnant Marie-Célie;Agnant;Marie-Célie;f;marie-celie-agnant.5619;agnant;01/01/1953;1953;Port-au-Prince;Haiti;;;;;Canada;"poet;writer;novelist";French;;Q3291756;0000 0000 7731 5095;17470529;#N/A;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;3800;5886;2142
AU;Andou Ange Bellie;Andou;Ange Bellie;f;ange-bellie-andou.40341;;;1980;;;;;;;Haïti;"novelist;writer;actor";French;;;;121606842;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Anglade Georges;Anglade;Georges;m;georges-anglade.14050;anglade;18/07/1944;1944;Port-au-Prince;Haiti;12/01/2010;2010;Port-au-Prince;Haiti;Haiti;"geographer;politician;writer;university teacher";French;;Q1508785;0000 0001 2129 0383;39504226;#N/A;https://en.wikipedia.org/wiki/Georges_Anglade;https://fr.wikipedia.org/wiki/Georges_Anglade;https://ht.wikipedia.org/wiki/Georges_Anglade;5508;8303;3542
AU;Apollon Pascal;Apollon;Pascal;m;;;16/06/1994;1994;;;;;;;Haiti;"poet;writer";French;;;0000 0004 7421 4140 ;9,15E+18;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Armand Margaret Mitchell;Armand;Margaret Mitchell;f;margaret-mitchell-armand.39598;;14/04/1950;1950;;Haiti;17/03/2016;2016;Miami;United States of America;"United States of America;Haiti";researcher;English;;;;;http://www.margaretmitchellarmand.com/;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Attilus Rhoddy;Attilus;Rhoddy;m;rhoddy-attilus.43531;;;1975;;;;;;;Haïti;novelist;Haitian Creole;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Attoumani Nassur;Attoumani;Nassur;m;nassur-attoumani.14082;attoumani;05/03/1954;1954;Moroni;Comoros;;;;;France;"writer;playwright";French;;Q3336266;0000 0000 8254 9558;67607725;#N/A;0;https://fr.wikipedia.org/wiki/Nassur_Attoumani;https://ht.wikipedia.org/wiki/Nassur_Attoumani;#N/A;8732;2963
AU;Augustave Elsie;Augustave;Elsie;f;elsie-augustave.39629;;;;;;;;;;"Haiti;United States of America";writer;"French; English";;Q19663803;0000 0004 1027 0207;304611590;http://www.elsieaugustave.com/;https://en.wikipedia.org/wiki/Elsie_Augustave;0;https://ht.wikipedia.org/wiki/Elsie_Augustave;3348;#N/A;1001
AU;Auguste Bonel;Auguste;Bonel;m;bonel-auguste.14053;auguste;06/03/1973;1973;Port-au-Prince;Haiti;;;;;Haiti;librarian;French;;Q16945858;0000 0004 1018 7235;304726217;#N/A;0;0;https://ht.wikipedia.org/wiki/Bonel_Auguste;#N/A;#N/A;840
AU;Augustin Gary;Augustin;Gary;m;gary-augustin.14054;augustin;01/01/1958;1958;Port-au-Prince;Haiti;01/01/2014;2014;;;Haiti;writer;French;;Q16946325;0000 0000 3524 7848;23875210;#N/A;0;0;https://ht.wikipedia.org/wiki/Gary_Augustin;#N/A;#N/A;905
AU;Azor Rodianco Fils;Azor;Rodianco Fils;m;rodianco-fils-azor.32629;;;1990;;;;;;;Haïti;"poet;novelist";French;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Baco Abdou S. ;Baco;Abdou S. ;m;abdou-s-baco.14055;baco;06/01/1965;1965;Mayotte;France;;;;;France;writer;French;;Q4665140;0000 0001 1473 2868;59132516;#N/A;https://en.wikipedia.org/wiki/Abdou_Baco;0;https://ht.wikipedia.org/wiki/Abdou_Baco;1995;#N/A;691
WIKI;Jean-Claude Bajeux;Bajeux;Jean-Claude;m;;;17/09/1931;1931;Port-au-Prince;Haiti;05/08/2011;2011;Port-au-Prince;Haiti;Haiti;"political activist;teacher;writer";French;;Q6169086;0000 0000 5511 6239;55290165;#N/A;https://en.wikipedia.org/wiki/Jean-Claude_Bajeux;https://fr.wikipedia.org/wiki/Jean-Claude_Bajeux;https://ht.wikipedia.org/wiki/Jean-Claude_Bajeux;13483;7730;1284
AU;Barthélémy Mimi;Barthélémy;Mimi;f;;barthelemy;03/05/1939;1939;Port-au-Prince;Haiti;27/04/2013;2013;Paris;France;Haiti;"writer;novelist;actor";French;;Q16266631;0000 0001 2122 3252;17257872;#N/A;https://en.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://fr.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://ht.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;3441;5485;7116
AU;Barthélémy Elodie;Barthélémy;Elodie;f;elodie-barthelemy.4122;;;1965;;;;;;;"Haïti;France";researcher;French;;Q103944741;0000 0000 7362 3867;44434558;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
AU;Bastien Barbara;Bastien;Barbara;f;barbara-bastien.39632;;;1979;Port-au-Prince;Haiti;;;;;Haiti;researcher;French;0000-0003-3446-894X;Q88413613;0000 0000 7252 6635 ;101031643;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Batraville Frantz Dominique;Batraville;Frantz Dominique;m;frantz-dominique-batraville.9813;batraville;20/02/1962;1962;Port-au-Prince;Haiti;;;;;Haiti;"writer;literary critic;poet";French;;Q16029082;0000 0000 7990 2234;34700403;#N/A;0;https://fr.wikipedia.org/wiki/Dominique_Batraville;https://ht.wikipedia.org/wiki/Dominique_Batraville;#N/A;3912;2811
AU;Beaugé-Rosier Jacqueline;Beaugé-Rosier;Jacqueline;f;jacqueline-beauge-rosier.14056;beauge-rosier;07/02/1932;1932;Jérémie;Haiti;28/07/2016;2016;Ottawa;Canada;Haiti;"poet;writer";French;;Q3157670;0000 0001 1438 1092;13423245;#N/A;https://en.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://fr.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://ht.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;3206;3944;910
AU;Belin Biais Maggy;Belin Biais;Maggy;f;;belin;08/04/1950;1950;;;;;;;Haiti;writer;French;;Q79392218;0000 0004 6358 6520;;#N/A;0;0;0;#N/A;#N/A;#N/A
AU;Bellerice Jules Emmanuel;Bellerice;Jules Emmanuel;m;jules-emmanuel-bellerice.40586;;;1978;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q12892188;0000 0000 4515 3781;1845443;#N/A;0;0;https://ht.wikipedia.org/wiki/Jules_Bellerice;#N/A;#N/A;789
AU;Benjamin Franz;Benjamin;Franz;m;franz-benjamin.7348;benjamin;01/01/1968;1968;Port-au-Prince;Haiti;;;;;"Canada;Haiti";writer;Canadian French;;Q12890785;0000 0000 7370 9273;69253640;#N/A;0;0;https://ht.wikipedia.org/wiki/Franz_Benjamin;#N/A;#N/A;1714
