ID;Nom;Prenoms;sex or gender;spla_pro;Ile_en_Ile;date of birth;place of birth;country_birth;date of death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF
AU1;Accilien;Cécile;female;cecile-accilien_22014;;1973;;;;;;"United States of America;Haiti";researcher;English;;;0000 0000 7103 8269;121070806
AU2;Accilien;Selmy;male;;;24/12/1992;Gonaïves;Haiti;;;;Haiti;"poet;writer";Haitian Creole;;Q61108056;0000 0004 5970 9209;1,07E+20
AU3;Adodo;Marie Ketline;female;ketline-adodo_33977;;07/01/1953;Jacmel;Haiti;;;;"Haiti;Togo";"poet;writer";;;;0000 0000 0101 9820;51854910
AU4;Agnant;Marie-Célie;female;marie-celie-agnant_5619;agnant;01/01/1953;Port-au-Prince;Haiti;;;;Canada;"poet;writer;novelist";French;;Q3291756;0000 0000 7731 5095;17470529
AU5;Alexis;Jacques-Stephen;male;jacques-stephen-alexis_5849;alexis_jacques-stephen;22/04/1922;Gonaïves;Haiti;01/04/1961;Haiti;Haiti;Haiti;"politician;writer;novelist;poet;neurologist";French;;Q3031679;"0000 0003 6864 3558; 0000 0001 2137 9361";68924500
AU6;Andou;Ange Bellie;female;ange-bellie-andou_40341;;;;;;;;Haïti;"novelist;writer;actor";French;;;;121606842
AU7;Anglade;Georges;male;georges-anglade_14050;anglade;18/07/1944;Port-au-Prince;Haiti;12/01/2010;Port-au-Prince;Haiti;Haiti;"geographer;politician;writer;university teacher";French;;Q1508785;0000 0001 2129 0383;39504226
AU8;Apollon;Pascal;male;;;16/06/1994;;;;;;Haiti;"poet;writer";French;;;0000 0004 7421 4140 ;
AU9;Armand;Margaret Mitchell;female;margaret-mitchell-armand_39598;;;;;;;;"United States of America;Haiti";researcher;English;;;;1,54E+20
AU10;Attilus;Rhoddy;male;rhoddy-attilus_43531;;1975;;;;;;Haïti;novelist;Haitian Creole;;;;1,54E+20
AU11;Attoumani;Nassur;male;nassur-attoumani_14082;attoumani;05/03/1954;Moroni;Comoros;;;;France;"writer;playwright";French;;Q3336266;0000 0000 8254 9558;67607725
AU12;Augustave;Elsie;female;elsie-augustave_39629;;;Haiti;Haiti;;;;"Haiti;United States of America";"author;choreographer";;;Q19663803;;
AU13;Auguste;Bonel;male;bonel-auguste_14053;auguste;06/03/1973;Port-au-Prince;Haiti;;;;Haiti;librarian;French;;Q16945858;0000 0004 1018 7235;304726217
AU14;Augustin;Gary;male;gary-augustin_14054;augustin;01/01/1958;Port-au-Prince;Haiti;01/01/2014;;;Haiti;writer;;;Q16946325;0000 0000 3524 7848;23875210
AU15;Azor;Rodianco Fils;male;rodianco-fils-azor_32629;;1990;;;;;;Haïti;"poet;novelist";;;;;
AU16;Baco;Abdou S. ;male;abdou-s-baco_14055;baco;06/01/1965;Mayotte;France;;;;France;writer;French;;Q4665140;0000 0001 1473 2868;59132516
AU17;Barthélémy;Elodie;female;elodie-barthelemy_4122;;1965;;;;;;"Haïti;France";researcher;;;;;1,90E+21
AU18;Barthélémy;Mimi;female;;barthelemy;03/05/1939;Port-au-Prince;Haiti;27/04/2013;Paris;France;Haiti;"writer;novelist;actor";French;;Q16266631;0000 0001 2122 3252;17257872
AU19;Bastien;Barbara;female;barbara-bastien_39632;;;;;;;;;researcher;;0000-0003-3446-894X;Q88413613;;
AU20;Batraville;Frantz Dominique;male;frantz-dominique-batraville_9813;batraville;20/02/1962;Port-au-Prince;Haiti;;;;Haiti;"writer;literary critic;poet";French;;Q16029082;0000 0000 7990 2234;34700403
