ID_dataset;Complete Name;Nom;Prenoms;sex or gender;spla.pro;Ile_en_Ile;date of birth;YEAR birth;place of birth;country_birth;date of death;year death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF;Date_birth_in_bio;DELETE;Date_in_Viaf;Website;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;in anais list;;;etat_civil
AU;Brouard Carl;Brouard;Carl;male;carl-brouard.14063;brouard;;1902;Port-au-Prince;Haiti;29/11/1965;1965;Port-au-Prince;Haiti;Haiti;"journalist;poet;artist";French;;Q2938879;0000 0000 7359 6475;41837233;1;1;;#N/A;https://en.wikipedia.org/wiki/Carl_Brouard;https://fr.wikipedia.org/wiki/Carl_Brouard;https://ht.wikipedia.org/wiki/Carl_Brouard;2448;4515;2066;0;;;Accilien Selmy
AU;Accilien Selmy;Accilien;Selmy;male;;;24/12/1992;1992;Gonaïves;Haiti;;;;;Haiti;"poet;writer";Haitian Creole;;Q61108056;0000 0004 5970 9209;;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Selmy_Accilien;#N/A;#N/A;1741;1;;;Accilien Cécile
AU;Adodo Marie Ketline;Adodo;Marie Ketline;female;ketline-adodo.33977;;07/01/1953;1953;Jacmel;Haiti;;;;;"Haiti;Togo";"poet;writer";;;;0000 0000 0101 9820;51854910;;0;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Adodo Marie Ketline
AU;Agnant Marie-Célie;Agnant;Marie-Célie;female;marie-celie-agnant.5619;agnant;01/01/1953;1953;Port-au-Prince;Haiti;;;;;Canada;"poet;writer;novelist";French;;Q3291756;0000 0000 7731 5095;17470529;;0;;#N/A;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;3800;5886;2142;1;;;Agnant Marie-Célie
AU;Casséus Maurice;Casséus;Maurice;male;maurice-casseus.14070;casseus;01/01/1902;1902;Port-au-Prince;Haiti;01/01/1963;1963;London;United Kingdom;Haiti;writer;French;;Q12894241;0000 0003 6628 2234;231662173;;1;;#N/A;0;0;https://ht.wikipedia.org/wiki/Maurice_Cass%C3%A9us;#N/A;#N/A;853;0;;;Andou Ange Bellie
AU;Andou Ange Bellie;Andou;Ange Bellie;female;ange-bellie-andou.40341;;;1980;;;;;;;Haïti;"novelist;writer;actor";French;;;;121606842;0;0;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Anglade Georges
AU;Anglade Georges;Anglade;Georges;male;georges-anglade.14050;anglade;18/07/1944;1944;Port-au-Prince;Haiti;12/01/2010;2010;Port-au-Prince;Haiti;Haiti;"geographer;politician;writer;university teacher";French;;Q1508785;0000 0001 2129 0383;39504226;;0;;#N/A;https://en.wikipedia.org/wiki/Georges_Anglade;https://fr.wikipedia.org/wiki/Georges_Anglade;https://ht.wikipedia.org/wiki/Georges_Anglade;5508;8303;3542;1;;;Apollon Pascal
AU;Roumer Émile;Roumer;Émile;male;;roumer;05/02/1903;1903;Jérémie;Haiti;01/01/1988;1988;Frankfurt am Main;Germany;Haiti;poet;;;Q3045906;0000 0000 6303 6802;264763430;;1;;#N/A;https://en.wikipedia.org/wiki/%C3%89mile_Roumer;https://fr.wikipedia.org/wiki/%C3%89mile_Roumer;https://ht.wikipedia.org/wiki/%C3%89mile_Roumer;1671;5529;1841;0;;;Armand Margaret Mitchell
AU;Thoby-Marcelin Philippe;Thoby-Marcelin;Philippe;male;;thoby-marcelin;11/12/1904;1904;Port-au-Prince;Haiti;13/08/1975;1975;Syracuse;United States of America;Haiti;"journalist;poet;politician";French;;Q3380772;0000 0000 7858 0851;52485878;;1;;#N/A;https://en.wikipedia.org/wiki/Philippe_Thoby-Marcelin;https://fr.wikipedia.org/wiki/Philippe_Thoby-Marcelin;https://ht.wikipedia.org/wiki/Philippe_Thoby-Marcelin;4153;4802;843;0;;;Attilus Rhoddy
AU;Apollon Pascal;Apollon;Pascal;male;;;16/06/1994;1994;;;;;;;Haiti;"poet;writer";French;;;0000 0004 7421 4140 ;;;0;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Attoumani Nassur
