;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;;;;;;wiki_url;len
Q61108056;;;https://ht.wikipedia.org/wiki/Selmy_Accilien;#N/A;#N/A;1741;;;;;;https://ht.wikipedia.org/wiki/Selmy_Accilien;1741
Q3291756;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;3800;5886;2142;;;;;;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;3800
Q3031679;https://en.wikipedia.org/wiki/Jacques_Stephen_Alexis;https://fr.wikipedia.org/wiki/Jacques_Stephen_Alexis;https://ht.wikipedia.org/wiki/Jacques-Stephen_Alexis;6039;11864;7592;;;;;;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;5886
Q1508785;https://en.wikipedia.org/wiki/Georges_Anglade;https://fr.wikipedia.org/wiki/Georges_Anglade;https://ht.wikipedia.org/wiki/Georges_Anglade;5508;8303;3542;;;;;;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;2142
Q2852891;;https://fr.wikipedia.org/wiki/Anthony_Lesp%C3%A8s;https://ht.wikipedia.org/wiki/Anthony_Lesp%C3%A8s;#N/A;3939;1099;;;;;;https://en.wikipedia.org/wiki/Jacques_Stephen_Alexis;6039
Q16945793;;;https://ht.wikipedia.org/wiki/Antoine_Innocent;#N/A;#N/A;1964;;;;;;https://fr.wikipedia.org/wiki/Jacques_Stephen_Alexis;11864
Q3336266;;https://fr.wikipedia.org/wiki/Nassur_Attoumani;https://ht.wikipedia.org/wiki/Nassur_Attoumani;#N/A;8732;2963;;;;;;https://ht.wikipedia.org/wiki/Jacques-Stephen_Alexis;7592
Q19663803;https://en.wikipedia.org/wiki/Elsie_Augustave;;https://ht.wikipedia.org/wiki/Elsie_Augustave;3348;#N/A;1001;;;;;;https://en.wikipedia.org/wiki/Georges_Anglade;5508
Q16945858;;;https://ht.wikipedia.org/wiki/Bonel_Auguste;#N/A;#N/A;840;;;;;;https://fr.wikipedia.org/wiki/Georges_Anglade;8303
Q16946325;;;https://ht.wikipedia.org/wiki/Gary_Augustin;#N/A;#N/A;905;;;;;;https://ht.wikipedia.org/wiki/Georges_Anglade;3542
Q4665140;https://en.wikipedia.org/wiki/Abdou_Baco;;https://ht.wikipedia.org/wiki/Abdou_Baco;1995;#N/A;691;;;;;;https://fr.wikipedia.org/wiki/Anthony_Lesp%C3%A8s;3939
Q16266631;https://en.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://fr.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://ht.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;3441;5485;7116;;;;;;https://ht.wikipedia.org/wiki/Anthony_Lesp%C3%A8s;1099
Q88413613;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Antoine_Innocent;1964
Q16029082;;https://fr.wikipedia.org/wiki/Dominique_Batraville;https://ht.wikipedia.org/wiki/Dominique_Batraville;#N/A;3912;2811;;;;;;https://fr.wikipedia.org/wiki/Nassur_Attoumani;8732
Q3157670;https://en.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://fr.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://ht.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;3206;3944;910;;;;;;https://ht.wikipedia.org/wiki/Nassur_Attoumani;2963
Q18575751;;;https://ht.wikipedia.org/wiki/Ren%C3%A9_B%C3%A9lance;#N/A;#N/A;921;;;;;;https://en.wikipedia.org/wiki/Elsie_Augustave;3348
Q79392218;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Elsie_Augustave;1001
Q3015752;https://en.wikipedia.org/wiki/Dant%C3%A8s_Bellegarde;https://fr.wikipedia.org/wiki/Dant%C3%A8s_Louis_Bellegarde;https://ht.wikipedia.org/wiki/Dant%C3%A8s_Bellegarde;2835;8765;2178;;;;;;https://ht.wikipedia.org/wiki/Bonel_Auguste;840
Q12892188;;;https://ht.wikipedia.org/wiki/Jules_Bellerice;#N/A;#N/A;789;;;;;;https://ht.wikipedia.org/wiki/Gary_Augustin;905
Q12890785;;;https://ht.wikipedia.org/wiki/Franz_Benjamin;#N/A;#N/A;1714;;;;;;https://en.wikipedia.org/wiki/Abdou_Baco;1995
Q55217164;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Abdou_Baco;691
Q3309004;;https://fr.wikipedia.org/wiki/Michel_Bertrand_(m%C3%A9decin);;#N/A;3267;#N/A;;;;;;https://en.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;3441
Q3123601;https://en.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://fr.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://ht.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;1932;11209;1319;;;;;;https://fr.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;5485
Q55217166;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;7116
Q12891871;;;https://ht.wikipedia.org/wiki/Jean-Marie_Bourjolly;#N/A;#N/A;685;;;;;;https://fr.wikipedia.org/wiki/Dominique_Batraville;3912
Q16946633;;;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax;#N/A;#N/A;9665;;;;;;https://ht.wikipedia.org/wiki/Dominique_Batraville;2811
