etat_civil;wikipage_en;wikipage_fr;wikipage_ht
Accilien Selmy;#N/A;#N/A;https://ht.wikipedia.org/wiki/Selmy_Accilien
Accilien Cécile;#N/A;#N/A;#N/A
Adodo Marie Ketline;#N/A;#N/A;#N/A
Agnant Marie-Célie;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant
Andou Ange Bellie;#N/A;#N/A;#N/A
Anglade Georges;https://en.wikipedia.org/wiki/Georges_Anglade;https://fr.wikipedia.org/wiki/Georges_Anglade;https://ht.wikipedia.org/wiki/Georges_Anglade
Apollon Pascal;#N/A;#N/A;#N/A
Armand Margaret Mitchell;#N/A;#N/A;#N/A
Attilus Rhoddy;#N/A;#N/A;#N/A
Attoumani Nassur;#N/A;https://fr.wikipedia.org/wiki/Nassur_Attoumani;https://ht.wikipedia.org/wiki/Nassur_Attoumani
Augustave Elsie;https://en.wikipedia.org/wiki/Elsie_Augustave;#N/A;https://ht.wikipedia.org/wiki/Elsie_Augustave
Auguste Bonel;#N/A;#N/A;https://ht.wikipedia.org/wiki/Bonel_Auguste
Augustin Gary;#N/A;#N/A;https://ht.wikipedia.org/wiki/Gary_Augustin
Azor Rodianco Fils;#N/A;#N/A;#N/A
Baco Abdou S. ;https://en.wikipedia.org/wiki/Abdou_Baco;#N/A;https://ht.wikipedia.org/wiki/Abdou_Baco
Jean-Claude Bajeux;https://en.wikipedia.org/wiki/Jean-Claude_Bajeux;https://fr.wikipedia.org/wiki/Jean-Claude_Bajeux;https://ht.wikipedia.org/wiki/Jean-Claude_Bajeux
Barthélémy Mimi;https://en.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://fr.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://ht.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my
Barthélémy Elodie;#N/A;#N/A;#N/A
Bastien Barbara;#N/A;#N/A;#N/A
Batraville Frantz Dominique;#N/A;https://fr.wikipedia.org/wiki/Dominique_Batraville;https://ht.wikipedia.org/wiki/Dominique_Batraville
Beaugé-Rosier Jacqueline;https://en.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://fr.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://ht.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier
Belin Biais Maggy;#N/A;#N/A;#N/A
Bellerice Jules Emmanuel;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jules_Bellerice
Benjamin Franz;#N/A;#N/A;https://ht.wikipedia.org/wiki/Franz_Benjamin
Berrouët-Oriol Robert M.;#N/A;#N/A;#N/A
Binette Christie;#N/A;#N/A;#N/A
Bloncourt Gérald;https://en.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://fr.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://ht.wikipedia.org/wiki/G%C3%A9rald_Bloncourt
Bogart Jeanie;#N/A;#N/A;#N/A
Bouchotte Giscard;#N/A;#N/A;#N/A
Bourjolly Jean-Marie;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jean-Marie_Bourjolly
Brax Jean-Pierre;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax
Buriez Emmanuel;#N/A;#N/A;https://ht.wikipedia.org/wiki/Emmanuel_Buriez
Maurice Cadet;#N/A;https://fr.wikipedia.org/wiki/Maurice_Cadet;https://ht.wikipedia.org/wiki/Maurice_Cadet
Calvin Jean-Max;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jean-Max_Calvin
Caplife Charles Edward;#N/A;#N/A;https://ht.wikipedia.org/wiki/Charles_Edward_Caplife
Carly Frantz;#N/A;#N/A;#N/A
Castera Georges;https://en.wikipedia.org/wiki/Georges_Castera;https://fr.wikipedia.org/wiki/Georges_Castera;https://ht.wikipedia.org/wiki/Georges_Castera
Cavé Syto;#N/A;#N/A;https://ht.wikipedia.org/wiki/Syto_Cav%C3%A9
Cazanove Michele;#N/A;#N/A;#N/A
