;?Nom;Wiki_ID;Nom;normalized;wikipage_fr;wikipage_en;wikipage_ht;wikipage_fr_len;wikipage_ht_len;wikipage_en_len;;;;;;;;;;
0;Stanley PÃ©an;Q3496855;Stanley Péan;Stanley_Péan;https://fr.wikipedia.org/wiki/Stanley_P%C3%A9an;;https://ht.wikipedia.org/wiki/Stanley_P%C3%A9an;14474,00;3516,00;;;;;wiki fr;wiki en;wiki ht;;;;
1;Ignace Nau;Q3148181;Ignace Nau;Ignace_Nau;https://fr.wikipedia.org/wiki/Ignace_Nau;https://en.wikipedia.org/wiki/Ignace_Nau;https://ht.wikipedia.org/wiki/Ignace_Nau;5622,00;2015,00;1861,00;;;;97,00;83,00;147;;;;
2;;;;;;;;;;;;;langue;taille moyenne;;;;wikipage_fr_len;wikipage_ht_len;wikipage_en_len
3;Jean Metellus;Q3173661;Jean Metellus;Jean_Metellus;https://fr.wikipedia.org/wiki/Jean_M%C3%A9tellus;https://en.wikipedia.org/wiki/Jean_Metellus;https://ht.wikipedia.org/wiki/Jean_Metellus;8748,00;4450,00;2833,00;;;wiki ht;2614,78;;;;97;147;83
4;Lenelle MoÃ¯se;Q6522408;Lenelle Moïse;Lenelle_Moïse;;https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;https://ht.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;;1500,00;4600,00;;;wiki en;4944,43;;;;;;
5;Edmond Laforest;Q3047892;Edmond Laforest;Edmond_Laforest;https://fr.wikipedia.org/wiki/Edmond_Laforest;https://en.wikipedia.org/wiki/Edmond_Laforest;https://ht.wikipedia.org/wiki/Edmond_Laforest;4584,00;2451,00;1468,00;;;wiki fr;8203,97;;;;;;
6;Raymond Chassagne;Q12896026;Raymond Chassagne;Raymond_Chassagne;https://fr.wikipedia.org/wiki/Raymond_Chassagne;https://en.wikipedia.org/wiki/Raymond_Chassagne;https://ht.wikipedia.org/wiki/Raymond_Chassagne;4348,00;1170,00;1628,00;;;;;;;;;;
7;Gary Klang;Q3098578;Gary Klang;Gary_Klang;https://fr.wikipedia.org/wiki/Gary_Klang;https://en.wikipedia.org/wiki/Gary_Klang;https://ht.wikipedia.org/wiki/Gary_Klang;10270,00;6712,00;7800,00;;;;;;;;;;
8;Antoine Innocent;Q16945793;Antoine Innocent;Antoine_Innocent;;;https://ht.wikipedia.org/wiki/Antoine_Innocent;;1964,00;;;;;;;;;;;
9;Yanick Jean;Q3571564;Yanick Jean;Yanick_Jean;https://fr.wikipedia.org/wiki/Yanick_Jean;;;5964,00;;;;;;;;;;;;
10;DantÃ¨s Bellegarde;Q3015752;Dantès Bellegarde;Dantès_Bellegarde;https://fr.wikipedia.org/wiki/Dant%C3%A8s_Louis_Bellegarde;https://en.wikipedia.org/wiki/Dant%C3%A8s_Bellegarde;https://ht.wikipedia.org/wiki/Dant%C3%A8s_Bellegarde;8765,00;2178,00;2835,00;;;;;;;;;;
11;Georges Anglade;Q1508785;Georges Anglade;Georges_Anglade;https://fr.wikipedia.org/wiki/Georges_Anglade;https://en.wikipedia.org/wiki/Georges_Anglade;https://ht.wikipedia.org/wiki/Georges_Anglade;8303,00;3542,00;5508,00;;;;;;;;;;
12;Jean-Max Calvin;Q16946629;Jean-Max Calvin;Jean-Max_Calvin;;;https://ht.wikipedia.org/wiki/Jean-Max_Calvin;;793,00;;;;;;;;;;;
13;Hervé Fanini-Lemoin;;Hervé Fanini-Lemoin;Hervé_Fanini-Lemoin;;;;;;;;;;;;;;;;
14;Ã‰mile Ollivier;Q286293;Ã‰mile Ollivier;Ã‰Mile_Ollivier;https://fr.wikipedia.org/wiki/%C3%89mile_Ollivier_(homme_politique);https://en.wikipedia.org/wiki/%C3%89mile_Ollivier;;22467,00;;18163,00;;;;;;;;;;
15;Luckner Desvignes;;Luckner Desvignes;Luckner_Desvignes;;;;;;;;;;;;;;;;
16;FrÃ©dÃ©ric Marcelin;Q3090021;Frédéric Marcelin;Frédéric_Marcelin;https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Marcelin;https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Marcelin;https://ht.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Marcelin;6389,00;1867,00;2365,00;;;;;;;;;;
17;Yanick Lahens;Q2599418;Yanick Lahens;Yanick_Lahens;https://fr.wikipedia.org/wiki/Yanick_Lahens;https://en.wikipedia.org/wiki/Yanick_Lahens;https://ht.wikipedia.org/wiki/Yanick_Lahens;11442,00;3834,00;5378,00;;;;;;;;;;
18;Roland Morisseau;Q12896340;Roland Morisseau;Roland_Morisseau;;;https://ht.wikipedia.org/wiki/Roland_Morisseau;;737,00;;;;;;;;;;;
19;Gesner Jean Gilles;;Gesner Jean Gilles;Gesner_Jean_Gilles;;;;;;;;;;;;;;;;
