Nom Prénom/ année de naissance/ source année de naissance / année de mort (île en île) / année de mort (viaf) 
Accilien, Selmy/////
Alex Laguerre/////
Alix Renaud/////
Anaïse Chavenet/////
Anderson Dovilas/1985-07-02/VIAF///
André Fouad/////
Angelucci Manigat/////
Ange Bellie Andou/////
Anténor Firmin/////
Anthony Phelps/1928-08-25/VIAF///
Antoine Innocent///1960-01-13 00:00:00+00:00//
Apollon, Pascal/////
Barbara Bastien/////
Boisrond-Tonnerre/////
Bonel Auguste/1973-03-06/VIAF///
Carl Brouard///1965-01-01 00:00:00+00:00//
Cauvin Paul/////
Cécile Accilien/////
Charles Edward Caplife/////
Christie Binette/////
Christophe Charles/////
Cléante Valcin/1891-01-13/VIAF/1956-01-26 00:00:00+00:00/1956-01-26/
Clément Magloire-Saint-Aude/////
Clervoyant Dieurat/////
Cocks, Georges/////
Constant Jeanty/////
Coutechève Lavoie Aupont/////
Dantès Bellegarde/1877-05-18/VIAF/1966-01-16 00:00:00+00:00/1966-06-16/
Dany Laferrière/1953-04-13/VIAF///
Davertige///2004-01-25 00:00:00+00:00//
Déita///2012-01-29 00:00:00+00:00//
Démesvar Delorme/1831-02-10/VIAF/1901-01-26 00:00:00+00:00/1901-12-26/
Denizé Lauture/////
Dimitri Elias Léger/////
Dominique Batraville/1962-02-20/VIAF///
Duccha/////
Edgard Gousse/////
Edmond Laforest/////
Édris Saint Amand/1918-03-26/VIAF//2004-02-09/
Edwidge Danticat/////
Edwige Danticat/////
Elie Fleurant/////
Elodie Barthélémy/////
Elsie Augustave/////
Elsie Suréna/1956-06-00/VIAF///
Elvire Maurouard/////
Emeline Michel/////
Émeric Bergeaud/1818/VIAF//1858-02-23/
Emile Célestin-Mégie/////
Émile Ollivier/1940-02-11/VIAF//2002-11-10/
Émile Roumer/1903-02-05/VIAF/1988-01-06 00:00:00+00:00/1988-04-06/
Émilie Franz/1941-12-09/VIAF///
Emilio Merisier/////
Emmanuel Buriez/////
Emmanuel Eugène/////
Emmelie Prophète/1971-06-15/VIAF///
Etzer Vilaire/1872-04-07/VIAF/1951-01-22 00:00:00+00:00/1951-05-22/
Évelyne Trouillot/1954-01-02/VIAF///
