Nom Prénom$source$langue 
Accilien, Selmy$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Alex Laguerre$spla$French
Anaïse Chavenet$spla$French
Anderson Dovilas$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Anderson Dovilas$spla$French
André Fouad$spla$French
Angelucci Manigat$spla$French
Ange Bellie Andou$spla$French
Anthony Phelps$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Antoine Innocent$spla$French
Barbara Bastien$spla$French
Bonel Auguste$BNF$http://id.loc.gov/vocabulary/iso639-2/cpf
Bonel Auguste$spla$French
Carl Brouard$spla$French
Cécile Accilien$spla$French
Charles Edward Caplife$spla$French
Christie Binette$spla$French
Christophe Charles$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Cléante Valcin$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Clément Magloire-Saint-Aude$spla$French
Clervoyant Dieurat$spla$French
Cocks, Georges$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Constant Jeanty$spla$French
Dantès Bellegarde$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Dantès Bellegarde$spla$French
Dany Laferrière$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Dany Laferrière$spla$French
Davertige$spla$French
Démesvar Delorme$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Démesvar Delorme$spla$French
Denizé Lauture$spla$French
Dimitri Elias Léger$spla$French
Dominique Batraville$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Edgard Gousse$spla$French
Edmond Laforest$spla$French
Edwige Danticat$spla$French
Elie Fleurant$spla$French
Elodie Barthélémy$spla$French
Elsie Suréna$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Elvire Maurouard$spla$French
Emeline Michel$spla$French
Émeric Bergeaud$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Émeric Bergeaud$spla$French
Emile Célestin-Mégie$spla$French
Émile Ollivier$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Émile Roumer$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Émilie Franz$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Emilio Merisier$spla$French
Emmanuel Buriez$spla$French
Emmanuel Eugène$spla$French
Emmelie Prophète$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Etzer Vilaire$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Évelyne Trouillot$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Fabian Charles$spla$French
Fednel Alexandre$spla$French
Félix Morisseau-Leroy$spla$French
Fernand Hibbert$spla$French
Franck Fouché$spla$French
Frankétienne$spla$French
Frantz-Antoine Leconte$spla$French
Frantz Carly$spla$French
Frantz Dominique Batraville$spla$French
Franz Benjamin$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Franz Benjamin$spla$French
Frederic Marcelin$spla$French
Fred Edson Lafortune$spla$French
Gary Augustin$spla$French
Gary Klang$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Gary Klang$spla$French
Gary Victor$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Geneviève Gaillard-Vanté$spla$French
Georges Anglade$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Georges Anglade$spla$French
Georges Castera$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Georges Castera$spla$French
Georges Sylvain$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Gérald Bloncourt$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Gérald Bloncourt$spla$French
Gérard Chenet$spla$French
Gérard Étienne$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Gérard Étienne$spla$French
Gesner Jean Gilles$spla$French
Giscard Bouchotte$spla$French
Guetty Felin$spla$French
Guy Régis$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Haveson Florvil$spla$French
Henry Kenol$spla$French
Hervé Fanini-Lemoin$spla$French
Ida Faubert$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Ida Faubert$spla$French
Jacqueline Beaugé Rosier$spla$French
