Nom Prénom;source;lieu 
Accilien, Selmy;BNF;vocabulary/countrycodes/..
Alex Laguerre;spla;Haiti
Anaïse Chavenet;spla;Haiti
Anderson Dovilas;spla;Haiti
Anderson Dovilas;BNF;http://id.loc.gov/vocabulary/countries/fr
André Fouad;spla;Haiti
Angelucci Manigat;spla;Haiti
Ange Bellie Andou;spla;Haiti
Anthony Phelps;BNF;http://id.loc.gov/vocabulary/countries/ht
Antoine Innocent;spla;Haiti
Barbara Bastien;spla;Haiti
Bonel Auguste;spla;Haiti
Bonel Auguste;BNF;http://id.loc.gov/vocabulary/countries/ht
Carl Brouard;spla;Haiti
Charles Edward Caplife;spla;Haiti
Christie Binette;spla;Haiti
Christophe Charles;BNF;http://id.loc.gov/vocabulary/countries/fr
Cléante Valcin;BNF;http://id.loc.gov/vocabulary/countries/ht
Clément Magloire-Saint-Aude;spla;Haiti
Clervoyant Dieurat;spla;Haiti
Cocks, Georges;BNF;http://id.loc.gov/vocabulary/countries/fr
Constant Jeanty;spla;Haiti
Dantès Bellegarde;spla;Haiti
Dantès Bellegarde;BNF;http://id.loc.gov/vocabulary/countries/ht
Dany Laferrière;spla;Haiti
Dany Laferrière;BNF;http://id.loc.gov/vocabulary/countries/ht
Davertige;spla;Haiti
Démesvar Delorme;spla;Haiti
Démesvar Delorme;BNF;http://id.loc.gov/vocabulary/countries/ht
Denizé Lauture;spla;Haiti
Dimitri Elias Léger;spla;Haiti
Dominique Batraville;BNF;http://id.loc.gov/vocabulary/countries/ht
Edgard Gousse;spla;Haiti
Edmond Laforest;spla;Haiti
Edwige Danticat;spla;Haiti
Elie Fleurant;spla;Haiti
Elodie Barthélémy;spla;Haiti
Elsie Suréna;BNF;http://id.loc.gov/vocabulary/countries/ht
Elvire Maurouard;spla;Haiti
Emeline Michel;spla;Haiti
Émeric Bergeaud;spla;Haiti
Émeric Bergeaud;BNF;http://id.loc.gov/vocabulary/countries/ht
Emile Célestin-Mégie;spla;Haiti
Émile Ollivier;BNF;http://id.loc.gov/vocabulary/countries/ht
Émile Roumer;BNF;http://id.loc.gov/vocabulary/countries/ht
Émilie Franz;BNF;http://id.loc.gov/vocabulary/countries/fr
Emilio Merisier;spla;Haiti
Emmanuel Buriez;spla;Haiti
Emmanuel Eugène;spla;Haiti
Emmelie Prophète;BNF;http://id.loc.gov/vocabulary/countries/ht
Etzer Vilaire;BNF;http://id.loc.gov/vocabulary/countries/ht
Évelyne Trouillot;BNF;http://id.loc.gov/vocabulary/countries/ht
Fabian Charles;spla;Haiti
Fednel Alexandre;spla;Canada
Félix Morisseau-Leroy;spla;Haiti
Fernand Hibbert;spla;Haiti
Franck Fouché;spla;Haiti
Frankétienne;spla;Haiti
Frantz-Antoine Leconte;spla;Haiti
Frantz Carly;spla;Haiti
Frantz Dominique Batraville;spla;Haiti
Franz Benjamin;spla;Haiti
Franz Benjamin;BNF;http://id.loc.gov/vocabulary/countries/xxc
Frederic Marcelin;spla;Haiti
Fred Edson Lafortune;spla;Haiti
Gary Augustin;spla;Haiti
Gary Klang;spla;Haiti
Gary Klang;BNF;http://id.loc.gov/vocabulary/countries/xxc
Gary Victor;BNF;http://id.loc.gov/vocabulary/countries/ht
Geneviève Gaillard-Vanté;spla;Haiti
Georges Anglade;spla;Haiti
Georges Anglade;BNF;http://id.loc.gov/vocabulary/countries/xxc
Georges Castera;spla;Haiti
Georges Castera;BNF;http://id.loc.gov/vocabulary/countries/ht
Georges Sylvain;BNF;http://id.loc.gov/vocabulary/countries/fr
Gérald Bloncourt;spla;Haiti
Gérald Bloncourt;BNF;http://id.loc.gov/vocabulary/countries/ht
Gérard Chenet;spla;Haiti
Gérard Étienne;spla;Haiti
Gérard Étienne;BNF;http://id.loc.gov/vocabulary/countries/fr
Gesner Jean Gilles;spla;Haiti
Giscard Bouchotte;spla;Haiti
Guetty Felin;spla;Haiti
Guy Régis;BNF;http://id.loc.gov/vocabulary/countries/ht
Haveson Florvil;spla;Haiti
Henry Kenol;spla;Haiti
Hervé Fanini-Lemoin;spla;Haiti
Ida Faubert;spla;Haiti
Ida Faubert;BNF;http://id.loc.gov/vocabulary/countries/ht
Jacqueline Beaugé Rosier;spla;Haiti
Jacqueline Scott Lemoine;spla;Haiti
Jacques Stephen Alexis;spla;Haiti
James Noël;BNF;http://id.loc.gov/vocabulary/countries/ht
Janine Tavernier;BNF;http://id.loc.gov/vocabulary/countries/fr
Jean James ESTEPHA;spla;Haiti
Jeanie Bogart;spla;Haiti
Jean André Constant;spla;Haiti
Jean-Baptiste Cinéas;spla;Haiti
Jean Billy Mondesir ;spla;Haiti
Jean Claude Charles;spla;Haiti
Jean Claude Fignolé;spla;Haiti
Jean-Durosier Desrivières;spla;Haiti
Jean Emmanuel Jacquet;spla;Haiti
Jean Euphèle Milcé;spla;Haiti
Jean Fernand Brierre;spla;Haiti
Jean Florival;spla;Haiti
Jean-Marie Bourjolly;spla;Haiti
Jean Métellus;spla;Haiti
