Nom Prenom/types de distinctions/description 
Alix_Renaud/prix et distinctions littéraires/2007     Prix Charles-Biddle, pour son apport exceptionnel à la société québécoise.
Alix_Renaud/prix et distinctions littéraires/2012     Prix de L’Institut Canadien de Québec, pour sa contribution dans le milieu littéraire depuis plus de 40 ans.
Alix_Renaud/prix et distinctions littéraires/2015     Prix Culturel de la Casa Latinoamericana, Québec.
Anthony_Phelps/prix et distinctions littéraires/1980     Prix Casa de las Américas, pour La Bélière caraïbe.
Anthony_Phelps/prix et distinctions littéraires/1987     Prix Casa de las Américas, pour Orchidée nègre.
Anthony_Phelps/prix et distinctions littéraires/2012     Prix Poésie, Salon du Livre Insulaire, Ouessant, pour Nomade je fus de très vieille mémoire.
Anthony_Phelps/prix et distinctions littéraires/2014     Prix de Poésie Gatien-Lapointe – Jaime-Sabines, pour Mujer América / Femme Amérique.
Anthony_Phelps/prix et distinctions littéraires/2014     Chevalier dans l’Ordre des Arts et des Lettres (France). 
Anthony_Phelps/prix et distinctions littéraires/2016     Prix Carbet et du Tout-Monde, pour l’ensemble de son oeuvre.
Anthony_Phelps/prix et distinctions littéraires/2017     Grand Prix de Poésie de l’Académie française, pour l’ensemble de son oeuvre poétique.
Anthony_Phelps/prix et distinctions littéraires/2018     Grand Prix de Poésie de la Société des Gens de Lettres de France, pour Au souffle du vent-poupée.
Bonel_Auguste/prix et distinctions littéraires/1997     Lauréat au concours de conte pour adultes de l’UNICEF, pour Lizamèvèy.
Bonel_Auguste/prix et distinctions littéraires/2007     Invité à la première édition du festival Etonnants Voyageurs Haïti, décembre 2007, Port-au-Prince.
Christophe_Charles/prix et distinctions littéraires/2002     Prix Gouverneur de la Rosée du Livre et de la Littérature, pour les Éditions Choucoune, Ministère de la Culture, Haïti.
Coutecheve_Lavoie_Aupont/distinction littéraire/2016     Prix René Philoctète, pour Le doute de la main.
Coutecheve_Lavoie_Aupont/distinction littéraire/2016     Prix Pwezi Kreyòl Dominique Batraville, pour Make pa.
Dany_Laferriere/prix et distinctions/1991     Prix Carbet de la Caraïbe, pour L’Odeur du café.
Dany_Laferriere/prix et distinctions/1993     Prix Edgar-l’Espérance, pour Le Goût des jeunes filles.
Dany_Laferriere/prix et distinctions/2000     Prix Carbet des Lycéens, pour Le Cri des oiseaux fous.
Dany_Laferriere/prix et distinctions/2001     Prix Gouverneur de la Rosée du Livre et de la Littérature, représentant de la diaspora. Ministère de la Culture, Haïti.
Dany_Laferriere/prix et distinctions/2002     Prix du Livre RFO, pour Cette Grenade dans la main du jeune nègre est-elle une arme ou un fruit? 
Dany_Laferriere/prix et distinctions/2004     Prix Zénith (long-métrage fiction, première œuvre), au Festival des Films du Monde de Montréal, pour Comment conquerir l’Amerique en une nuit.
Dany_Laferriere/prix et distinctions/2006     Prix du Gouverneur Général (littérature jeunesse), pour Je suis fou de Vava.
Dany_Laferriere/prix et distinctions/2009     Prix Médicis, pour L’énigme du retour.
Dany_Laferriere/prix et distinctions/2009     Grand Prix du livre de Montréal, pour L’énigme du retour.
Dany_Laferriere/prix et distinctions/2010     Personnalité de l’année La Presse-Radio-Canada, pour son exploit littéraire et l’ensemble de son œuvre.
Dany_Laferriere/prix et distinctions/2010     Grand Prix littéraire international du festival Métropolis Bleu (Montréal).
Dany_Laferriere/prix et distinctions/2010     Prix des libraires (Québec), pour L’énigme du retour.
Dany_Laferriere/prix et distinctions/2010     Invité d’honneur, Livres en Folie (Port-au-Prince).
Dany_Laferriere/prix et distinctions/2013     Élu membre de l’Académie française.
Dany_Laferriere/prix et distinctions/2015     Prix Ludger-Duvernay de la Société Saint-Jean-Baptiste de Montréal
Dany_Laferriere/prix et distinctions/2017     Officier de l’Ordre de Montréal.
Dany_Laferriere/prix et distinctions/2017     Officier de l’Ordre du Canada.
Denize_Lauture/distinctions littéraires/1993    NAACP (National Association for the Advancement of Colored People) Image Awards, pour Father and Son.
Denize_Lauture/distinctions littéraires/1997    Running the Road to ABC, choisi par la bibliothèque Donnell, New York City Public Library, comme l’un des « Cent livres à lire et à partager » (One Hundred Books for Reading and Sharing).
Dominique_Batraville/prix et distinctions littéraires/1996     3e Prix Unicef-Haïti, pour la pièce Le Nègre et la rose de l’auberge (inédite).
Dominique_Batraville/prix et distinctions littéraires/1996     Mention pour le Prix Jacques-Stephen Alexis, pour la nouvelle « L’Arbre qui saigne ».
Dominique_Batraville/prix et distinctions littéraires/1997     Prix Sony Rupaire, pourle conte « Potre van nan sèvolan lakansyèl » (inédit).
Dominique_Batraville/prix et distinctions littéraires/1998     Mention pour le Prix Unesco/Cuba, pour El Cantico de la aurora (Kantik devanjou).
Dominique_Batraville/prix et distinctions littéraires/2003     2e Prix Toussaint Louverture, pour le conte-drame L’Ouverture.
Dominique_Batraville/prix et distinctions littéraires/2009     Diplôme Accessit (prix de poésie de langue française) de l’association La Porte des poètes.
Dominique_Batraville/prix et distinctions littéraires/2013     Plaque d’honneur et mérite de l’Association CarnaFam (Florida), « pou bèl zèv kréyol … ki anrichi patrimwan litèrè peyi d’Ayiti ».
Duccha/prix et distinctions littéraires/2003     Premier Prix de poésie de l’École Normale Supérieure, pour [Mo] figé(s).
Duccha/prix et distinctions littéraires/2005     Deuxième prix de poésie, sur le thème de la lutte contre le sida, organisé par la Faculté de Médecine et de Pharmacie de Port-au-Prince.
Duccha/prix et distinctions littéraires/2006     Premier Prix de l’École Normale Supérieure (Haïti), pour [Mo] figé(s).
Duccha/prix et distinctions littéraires/2006     Prix « Pensieri in viersi » de l’Académie internationale Il Convivio (Sicile, Italie), pour La vie en marelle (avec Denise Bernhardt).
Duccha/prix et distinctions littéraires/2007     Deuxième lauréat en orthographe du français (Quinzaine de la Francophonie, mars 2007), Faculté linguistique Appliquée (Port-au-Prince).
Duccha/prix et distinctions littéraires/2007     Deuxième lauréat (Quinzaine de la Francophonie). Faculté linguistique Appliquée. (Port-au-Prince).
Duccha/prix et distinctions littéraires/2009     Prix « Sincérité », Concours International du haiku francophone Marco Polo (Paris).
Duccha/prix et distinctions littéraires/2009     Finaliste du prix des écritures théatrales caraibes ETC Caraibes pour Acte de citoyenneté absolu (Guadeloupe).
Edwidge_Danticat/distinctions littéraires/1994     Fiction Award, The Caribbean Writer.
Edwidge_Danticat/distinctions littéraires/1995     National Book Award finalist, for Krik? Krak!
Edwidge_Danticat/distinctions littéraires/1995     Pushcart Short Story Prize.
Edwidge_Danticat/distinctions littéraires/1996     Best Young American Novelists Award, for Breath, Eyes, Memory by Granta.
Edwidge_Danticat/distinctions littéraires/1999     American Book Award, for The Farming of Bones.
Edwidge_Danticat/distinctions littéraires/1999     Prix Carbet de la Caraïbe, pour La récolte douce des larmes (The Farming of Bones).
Edwidge_Danticat/distinctions littéraires/2002     Prix Gouverneur de la Rosée du Livre et de la Littérature, représentante de la diaspora. Ministère de la Culture, Haïti, pour l’ensemble de son œuvre.
Edwidge_Danticat/distinctions littéraires/2005     Story Prize (first annual prize for a collection of short fiction), for The Dew Breaker.
Edwidge_Danticat/distinctions littéraires/2008     National Book Critics Circle Award (NBCC 2007) in autobiography, for Brother, I’m Dying.
Edwidge_Danticat/distinctions littéraires/2009     Best of Brooklyn Award, at Brooklyn Book Festival.
Edwidge_Danticat/distinctions littéraires/2009     MacArthur Foundation (« Genius ») Grant.
Edwidge_Danticat/distinctions littéraires/2011     Langston Hughes Medal, pour ses contributions distinguées aux arts et lettres.
Edwidge_Danticat/distinctions littéraires/2013     Grand Prix de l’Association des Écrivains de la Caraïbe, pour Créer dangereusement.
Edwidge_Danticat/distinctions littéraires/2018     Neustadt International Prize for Literature, pour l’ensemble de son oeuvre.
Elsie_Surena/prix et distinctions littéraires/1999     Lauréate du concours « Les Belles Provinciales » (Ministère de la Culture et Coopération Française), Port-au-Prince.
Elsie_Surena/prix et distinctions littéraires/2005     Judge’s Recognition Award, pour la photo « Stone Steps ». Delray Beach (USA): WITVA Gallery.
Elsie_Surena/prix et distinctions littéraires/2009     Prix Belleville Galaxie au 5e Concours International Marco Polo de Haïku.
Elsie_Surena/prix et distinctions littéraires/2009     Mention spéciale au 13e Concours International de Haïku du Maïnichi Daily News (Osaka, Japon).
Elvire_Maurouard/prix et distinctions littéraires/2004     Médaille d’or de l’Académie de Lutèce, pour sa thèse de doctorat, « Le Théâtre tragique haïtien ».
Elvire_Maurouard/prix et distinctions littéraires/2005     Prix Louis Marin, pour Les beautés noires de Baudelaire.
Elvire_Maurouard/prix et distinctions littéraires/2006     Le premier Prix de l’Académie Internationale Il Convivio (Sicile), pour « Le Jardin de Baudelaire » (nouvelle).
Elvire_Maurouard/prix et distinctions littéraires/2007     Prix Présence des Arts au Concours de l’Ile des Poètes. L’Alchimie des rêves, 
Elvire_Maurouard/prix et distinctions littéraires/2009     Prix de la Renaissance Africaine, pour La Joconde noire.
Elvire_Maurouard/prix et distinctions littéraires/2010     Prix de la Société des Poètes français, pour Coquillages africains en terre d’Europe.
Emile_Ollivier/distinctions littéraires/1985    Prix Jacques Roumain, pour Mère-Solitude
Emile_Ollivier/distinctions littéraires/1987    Grand Prix de la prose du Journal de Montréal, pour La Discorde aux cent voix
Emile_Ollivier/distinctions littéraires/1991    Grand Prix du Livre de Montréal, pour Passages
Emile_Ollivier/distinctions littéraires/1993    Chevalier de l’Ordre national du Québec
Emile_Ollivier/distinctions littéraires/1996    Prix Carbet de la Caraïbe, pour Les Urnes scellées
Emile_Ollivier/distinctions littéraires/2000    Chevalier de l’Ordre des Arts et des Lettres de la France
Emile_Ollivier/distinctions littéraires/2000    Élu membre de l’Académie des Lettres du Québec
Emile_Ollivier/distinctions littéraires/2002    Finaliste pour le Prix du Gouverneur Général (essais), pour Repérages
Emmelie_Prophete/prix et distinctions littéraires/2006     Nommée directrice de la nouvelle Direction Nationale du Livre en Haïti.
Emmelie_Prophete/prix et distinctions littéraires/2009     Prix Littéraire de la Caraïbe de l’ADELF, ex æquo, pour Le Testament des solitudes.
Emmelie_Prophete/prix et distinctions littéraires/2018     Invitée d’honneur à Livres en folie, Haïti.
Etzer_Vilaire/prix et distinctions littéraires/1912     Prix de l’Académie française, pour Nouveaux poèmes.
Evelyne_Trouillot/prix et distinctions littéraires/2004     Prix Soroptimist de la Romancière Francophone (Grenoble), pour Rosalie l’infâme.
Evelyne_Trouillot/prix et distinctions littéraires/2005     Prix Beaumarchais (ex æquo), pour Le Bleu de l’île. 
Evelyne_Trouillot/prix et distinctions littéraires/2010     Prix Carbet de la Caraïbe et du Tout-Monde, pour La mémoire aux abois.
Evelyne_Trouillot/prix et distinctions littéraires/2012     Canute A. Brodhurst Prize for short fiction, de la revue The Caribbean Writer.
Evelyne_Trouillot/prix et distinctions littéraires/2014     Bourse Barbancourt.
Fabienne_Pasquet/prix et distinctions littéraires/1997     Bourse d’aide à l’écriture du Centre National du Livre (France).
Fabienne_Pasquet/prix et distinctions littéraires/1997     Bourse d’aide à l’écriture Fondation Pro-Helvetia (Suisse).
Fabienne_Pasquet/prix et distinctions littéraires/2000     Prix Schiller (Suisse), pour La Deuxième mort de Toussaint Louverture.
Fabienne_Pasquet/prix et distinctions littéraires/2002     Bourse d’aide à l’écriture de la Ville de Genève.
Fabienne_Pasquet/prix et distinctions littéraires/2003     de janvier à mars, résidence itinérante sur l’arc jurassien franco-suisse, «Par dessus le mur l’écriture».
Fabienne_Pasquet/prix et distinctions littéraires/2003     Prix Marcel Aymé, pour La Deuxième mort de Toussaint Louverture.
Felix_Morisseau_Leroy/distinctions littéraires/1996     le Prix Carbet de la Caraibe.
Franketienne/prix et distinctions littéraires/1992     Session spéciale en hommage à Frankétienne, avec la présence de l’auteur, Congrès du CIEF, Strasbourg.
Franketienne/prix et distinctions littéraires/2001     Hommage à Frankétienne, mois de la langue créole, Montréal.
Franketienne/prix et distinctions littéraires/2001     Hommage à Frankétienne par ses élèves, Pétion-Ville.
Franketienne/prix et distinctions littéraires/2002     Prix Carbet de la Caraïbe, pour H’Éros chimères.
Franketienne/prix et distinctions littéraires/2003     Prix de leadership dans le domaine social délivré par Toast Masters International.
Franketienne/prix et distinctions littéraires/2004     Distinction remise par l’Association des Artistes Haïtiens de New York.
Franketienne/prix et distinctions littéraires/2004     Medalla de Honor Presidencial Centenario Pablo Neruda.
Franketienne/prix et distinctions littéraires/2005     Grand Prix du Livre Insulaire (Ouessant), le Prix des îles du Ponant, pour Anthologie Secrète.
Franketienne/prix et distinctions littéraires/2006     Prix International Union Latine de Littératures Romanes (Rome), pour l’ensemble de son œuvre.
Franketienne/prix et distinctions littéraires/2006     Prix Prince Claus (Pays-Bas), pour l’ensemble de son œuvre artistique, son usage poétique de la langue, son engagement en faveur des langues locales et sa contribution à la langue et à la culture régionales.
Franketienne/prix et distinctions littéraires/2006     Désigné « Trésor National Vivant » d’Haïti (avec Michèle Pierre-Louis et Azor [Lenord Fortuné]) par la Fondation Françoise Canez Auguste et Image et Marketing (Haïti).
Franketienne/prix et distinctions littéraires/2007     Prix Honneur et Mérite délivré par les Organisations populaires d’Haïti.
Franketienne/prix et distinctions littéraires/2008     Hommage à « L’Écrivain Quisqueyen » par le Ministre de la Culture dominicain.
Franketienne/prix et distinctions littéraires/2008     Mapou d’Or 2008, premier récipient du prix de la Fondation pour la reconnaissance des œuvres majeures (Forom).
Franketienne/prix et distinctions littéraires/2010     Artiste de l’UNESCO pour la Paix.
