Nom Prénom;métier;source 
Alex Laguerre;Ecrivain/ne;spla
Anaïse Chavenet;Editeur/trice;spla
Anaïse Chavenet; Distributeur/trice;spla
Anderson Dovilas;Auteur-compositeur/trice;spla
Anderson Dovilas; Dramaturge;spla
Anderson Dovilas; Poète;spla
André Fouad;Ecrivain/ne;spla
Angelucci Manigat;Poète;spla
Ange Bellie Andou;Ecrivain/ne;spla
Anthony Phelps;spisovatele;VIAF
Anthony Phelps;rozhlasovi reziseri;VIAF
Anthony Phelps;novinari;VIAF
Anthony Phelps;filmovi producenti;VIAF
Anthony Phelps;divadelni producenti;VIAF
Anthony Phelps;basnici;VIAF
Anthony Phelps;authors black;VIAF
Antoine Innocent;Ecrivain/ne;spla
Antoine Innocent; Journaliste;spla
Barbara Bastien;Ecrivain/ne;spla
Bonel Auguste;Ecrivain/ne;spla
Bonel Auguste; Poète;spla
Carl Brouard;Ecrivain/ne;spla
Cécile Accilien;Ecrivain/ne;spla
Cécile Accilien; Professeur;spla
Charles Edward Caplife;Ecrivain/ne;spla
Christie Binette;Ecrivain/ne;spla
Clément Magloire-Saint-Aude;Ecrivain/ne;spla
Clervoyant Dieurat;Ecrivain/ne;spla
Constant Jeanty;Chorégraphe;spla
Constant Jeanty; Ecrivain/ne;spla
Dantès Bellegarde;novelists;VIAF
Dantès Bellegarde;historians;VIAF
Dantès Bellegarde;essayists;VIAF
Dantès Bellegarde;diplomats;VIAF
Dantès Bellegarde;Ecrivain/ne;spla
Dany Laferrière;authors black;VIAF
Dany Laferrière;poetas;VIAF
Dany Laferrière;periodistas;VIAF
Dany Laferrière;novelists;VIAF
Dany Laferrière;novelistas;VIAF
Dany Laferrière;journalists;VIAF
Dany Laferrière;guionistas;VIAF
Dany Laferrière;escritores;VIAF
Dany Laferrière;authors;VIAF
Dany Laferrière;Réalisateur/trice;spla
Dany Laferrière; Ecrivain/ne;spla
Dany Laferrière; Scénariste;spla
Davertige;Ecrivain/ne;spla
Davertige; Poète;spla
Démesvar Delorme;Musicien/ne;spla
Démesvar Delorme; Ecrivain/ne;spla
Démesvar Delorme; Poète;spla
Démesvar Delorme; Journaliste;spla
Denizé Lauture;Ecrivain/ne;spla
Denizé Lauture; Poète;spla
Denizé Lauture; Professeur;spla
Dimitri Elias Léger;Ecrivain/ne;spla
Dominique Batraville;journalists;VIAF
Dominique Batraville;comedians;VIAF
Dominique Batraville;authors black;VIAF
Edgard Gousse;Ecrivain/ne;spla
Edgard Gousse; Professeur;spla
Edmond Laforest;Ecrivain/ne;spla
Edmond Laforest; Poète;spla
Edwige Danticat;Ecrivain/ne;spla
Edwige Danticat; Acteur/trice;spla
Edwige Danticat; Producteur/trice;spla
Elie Fleurant;Philosophe;spla
Elie Fleurant; Poète;spla
Elodie Barthélémy;Plasticien/ne;spla
Elodie Barthélémy; Illustrateur/trice;spla
Elsie Suréna;women authors black;VIAF
Elsie Suréna;poetes;VIAF
Elsie Suréna;photographes;VIAF
Elsie Suréna;photographers;VIAF
Elvire Maurouard;Ecrivain/ne;spla
Emeline Michel;Chanteur/euse;spla
Emeline Michel; Ecrivain/ne;spla
Emeline Michel; Auteur-compositeur/trice;spla
Émeric Bergeaud;politicians;VIAF
Émeric Bergeaud;novelists;VIAF
Émeric Bergeaud;Ecrivain/ne;spla
Emile Célestin-Mégie;Ecrivain/ne;spla
Émile Ollivier;spisovatele;VIAF
Émile Ollivier;professeurs enseignement superieur;VIAF
Émile Ollivier;ecrivains;VIAF
Émile Ollivier;college teachers;VIAF
Émile Ollivier;authors black;VIAF
Émile Roumer;ecrivains;VIAF
Émile Roumer;authors;VIAF
Emilio Merisier;Poète;spla
Emmanuel Buriez;Réalisateur/trice;spla
Emmanuel Buriez; Acteur/trice;spla
Emmanuel Buriez; Scénariste;spla
Emmanuel Eugène;Ecrivain/ne;spla
Emmelie Prophète;poetes;VIAF
Emmelie Prophète;journalistes;VIAF
Emmelie Prophète;romancieres;VIAF
Emmelie Prophète;poets;VIAF
Emmelie Prophète;journalists;VIAF
Etzer Vilaire;poets black;VIAF
Évelyne Trouillot;women authors black;VIAF
Fabian Charles;Ecrivain/ne;spla
Fabian Charles; Poète;spla
Fednel Alexandre;Ecrivain/ne;spla
Fednel Alexandre; Poète;spla
Fednel Alexandre; Professeur;spla
Fednel Alexandre; Universitaire;spla
Fednel Alexandre; Animateur/trice;spla
Félix Morisseau-Leroy;Ecrivain/ne;spla
Félix Morisseau-Leroy; Dramaturge;spla
Félix Morisseau-Leroy; Poète;spla
Fernand Hibbert;Ecrivain/ne;spla
Franck Fouché;Dramaturge;spla
Franck Fouché; Poète;spla
Franck Fouché; Journaliste;spla
Frankétienne;Metteur/se en scène;spla
Frankétienne; Peintre;spla
Frankétienne; Ecrivain/ne;spla
Frankétienne; Acteur/trice;spla
Frankétienne; Dramaturge;spla
Frankétienne; Poète;spla
Frantz-Antoine Leconte;Ecrivain/ne;spla
Frantz Carly;Ecrivain/ne;spla
Frantz Dominique Batraville;Acteur/trice;spla
Frantz Dominique Batraville; Poète;spla
Frantz Dominique Batraville; Journaliste;spla
Franz Benjamin;Ecrivain/ne;spla
Franz Benjamin; Poète;spla
Frederic Marcelin;Ecrivain/ne;spla
Fred Edson Lafortune;Ecrivain/ne;spla
Fred Edson Lafortune; Poète;spla
Gary Augustin;Ecrivain/ne;spla
Gary Augustin; Poète;spla
Gary Klang;Ecrivain/ne;spla
Gary Victor;television writers;VIAF
Gary Victor;screenwriters;VIAF
Gary Victor;radio writers;VIAF
Gary Victor;novelists;VIAF
Geneviève Gaillard-Vanté;Ecrivain/ne;spla
Georges Anglade;politicians;VIAF
Georges Anglade;geographers;VIAF
Georges Anglade;college teachers;VIAF
Georges Anglade;authors;VIAF
Georges Anglade;Ecrivain/ne;spla
Georges Anglade; Universitaire;spla
Georges Castera;poets;VIAF
Georges Castera;painters;VIAF
Georges Castera;designers;VIAF
Georges Castera;authors;VIAF
Georges Castera;Poète;spla
Gérald Bloncourt;photographes;VIAF
Gérald Bloncourt;photographers;VIAF
Gérald Bloncourt;painters;VIAF
Gérald Bloncourt;illustrateurs;VIAF
Gérald Bloncourt;ecrivains;VIAF
Gérald Bloncourt;Peintre;spla
Gérald Bloncourt; Photographe;spla
Gérald Bloncourt; Ecrivain/ne;spla
Gérald Bloncourt; Acteur/trice;spla
Gérald Bloncourt; Poète;spla
Gérard Chenet;Ecrivain/ne;spla
Gérard Étienne;Ecrivain/ne;spla
Gérard Étienne; Poète;spla
Gesner Jean Gilles;Ecrivain/ne;spla
Giscard Bouchotte;Réalisateur/trice;spla
Giscard Bouchotte; Critique d'art;spla
Guetty Felin;Réalisateur/trice;spla
Guetty Felin; Producteur/trice;spla
Guetty Felin; Scénariste;spla
Guetty Felin; Producteur/trice délégué/e;spla
Guetty Felin; Distributeur/trice;spla
Haveson Florvil;Ecrivain/ne;spla
Haveson Florvil; Poète;spla
Haveson Florvil; Rédacteur/trice en chef;spla
Henry Kenol;Ecrivain/ne;spla
Hervé Fanini-Lemoin;Ecrivain/ne;spla
Hervé Fanini-Lemoin; Editeur/trice;spla
Ida Faubert;Ecrivain/ne;spla
Ida Faubert; Poète;spla
Jacqueline Beaugé Rosier;Ecrivain/ne;spla
Jacqueline Beaugé Rosier; Poète;spla
Jacqueline Scott Lemoine;Ecrivain/ne;spla
Jacqueline Scott Lemoine; Acteur/trice;spla
Jacqueline Scott Lemoine; Poète;spla
Jacqueline Scott Lemoine; Universitaire;spla
Jacques Stephen Alexis;novelists;VIAF
Jacques Stephen Alexis;ecrivains;VIAF
Jacques Stephen Alexis;Ecrivain/ne;spla
Jean James ESTEPHA;Professeur;spla
Jean James ESTEPHA; Psychologue;spla
Jeanie Bogart;Ecrivain/ne;spla
Jeanie Bogart; Designer;spla
Jean André Constant;Ecrivain/ne;spla
Jean André Constant; Poète;spla
Jean-Baptiste Cinéas;Ecrivain/ne;spla
Jean Billy Mondesir ;Ecrivain/ne;spla
Jean Claude Charles;journalists;VIAF
Jean Claude Charles;journalistes;VIAF
Jean Claude Charles;authors;VIAF
Jean Claude Charles;Ecrivain/ne;spla
Jean Claude Charles; Poète;spla
Jean Claude Fignolé;Ecrivain/ne;spla
Jean-Durosier Desrivières;Dramaturge;spla
Jean-Durosier Desrivières; Poète;spla
Jean-Durosier Desrivières; Journaliste;spla
Jean Emmanuel Jacquet;Critique d'art;spla
Jean Emmanuel Jacquet; Animateur/trice;spla
Jean Emmanuel Jacquet; Chargé/e de communication;spla
Jean Euphèle Milcé;authors black;VIAF
Jean Euphèle Milcé;Ecrivain/ne;spla
Jean Euphèle Milcé; Poète;spla
Jean Fernand Brierre;Ecrivain/ne;spla
Jean Fernand Brierre; Poète;spla
Jean Florival;Journaliste;spla
Jean-Marie Bourjolly;Ecrivain/ne;spla
Jean Métellus;neurologists;VIAF
Jean Métellus;college teachers;VIAF
Jean Métellus;authors black;VIAF
Jean Métellus;Ecrivain/ne;spla
Jean-Pierre Brax;Réalisateur/trice;spla
Jean-Pierre Brax; Ecrivain/ne;spla
Jean-Pierre Brax; Journaliste;spla
