Nom Prénom/ sexe 
Accilien, Selmy/na
Alex Laguerre/na
Alix Renaud/na
Anaïse Chavenet/na
Anderson Dovilas/m
André Fouad/na
Angelucci Manigat/na
Ange Bellie Andou/na
Anténor Firmin/na
Anthony Phelps/m
Antoine Innocent/na
Apollon, Pascal/na
Barbara Bastien/na
Boisrond-Tonnerre/na
Bonel Auguste/m
Carl Brouard/na
Cauvin Paul/na
Cécile Accilien/na
Charles Edward Caplife/na
Christie Binette/na
Christophe Charles/m
Cléante Valcin/f
Clément Magloire-Saint-Aude/na
Clervoyant Dieurat/na
Cocks, Georges/na
Constant Jeanty/na
Coutechève Lavoie Aupont/na
Dantès Bellegarde/m
Dany Laferrière/m
Davertige/na
Déita/na
Démesvar Delorme/m
Denizé Lauture/na
Dimitri Elias Léger/na
Dominique Batraville/m
Duccha/na
Edgard Gousse/na
Edmond Laforest/na
Édris Saint Amand/m
Edwidge Danticat/na
Edwige Danticat/na
Elie Fleurant/na
Elodie Barthélémy/na
Elsie Augustave/na
Elsie Suréna/f
Elvire Maurouard/na
Emeline Michel/na
Émeric Bergeaud/m
Emile Célestin-Mégie/na
Émile Ollivier/m
Émile Roumer/na
Émilie Franz/f
Emilio Merisier/na
Emmanuel Buriez/na
Emmanuel Eugène/na
Emmelie Prophète/f
Etzer Vilaire/m
Évelyne Trouillot/f
Fabian Charles/na
Fabienne Pasquet/na
Fednel Alexandre/na
Félix Morisseau-Leroy/na
Fernand Hibbert/na
Franck Fouché/na
Frankétienne/na
Frantz-Antoine Leconte/na
Frantz Carly/na
Frantz Dominique Batraville/na
Franz Benjamin/m
Frederic Marcelin/na
Fred Edson Lafortune/na
Gary Augustin/na
Gary Klang/m
Gary Victor/m
Geneviève Gaillard-Vanté/na
Georges Anglade/m
Georges Castera/m
Georges Sylvain/m
Gérald Bloncourt/m
Gérard Chenet/na
Gérard Étienne/m
Gesner Jean Gilles/na
Giscard Bouchotte/na
Guetty Felin/na
Guy Régis/m
Haveson Florvil/na
Henry Kenol/na
Hervé Fanini-Lemoin/na
Ida Faubert/f
Ignace Nau/na
Iléus Papillon/na
Jacqueline Beaugé Rosier/f
Jacqueline Scott Lemoine/f
Jacques Rey Charlier/na
Jacques Roumain/na
Jacques Stephen Alexis/m
James Noël/m
Janine Tavernier/f
Jean James ESTEPHA/na
Jeanie Bogart/na
Jean André Constant/na
Jean-Baptiste Cinéas/na
Jean Billy Mondesir /na
Jean Claude Charles/m
Jean Claude Fignolé/m
Jean-Durosier Desrivières/na
Jean Emmanuel Jacquet/na
Jean Euphèle Milcé/m
Jean Fernand Brierre/na
Jean Florival/na
Jean Marc Pasquet/m
Jean-Marie Bourjolly/na
Jean-Max Calvin/na
Jean Métellus/m
Jean-Pierre Brax/na
Jean Price Mars/m
Jean Robert Léonidas/m
Jean Watson Charles/na
Jenner Desroches/na
Jessica Fièvre/f
Joanne Hyppolite/na
Joëlle Constant/na
Joël Des Rosiers/na
Johnie Hilaire/na
Josaphat-Robert Large/na
Joseph-Anténor Firmin/na
Joubert Joseph/m
Jules Emmanuel Bellerice /na
Justin Lhérisson/na
Ketline Adodo/na
Kettly Mars/f
Laënnec Hurbon/na
Lawrence Hill/na
Lenelle Moïse/na
Léon Laleau/m
Leslie Gaelle Nerette/na
Lewis Ampidu Clorméus/na
Lilas Desquiron/na
Louis Joseph Janvier/na
Louis Philippe Dalembert/m
Lucien Lemoine/na
Luckner Desvignes/na
Lyonel Trouillot/m
Maggy Belin Biais/na
Magloire-Saint-Aude/na
Makenzy Orcel/m
Marcien Constant/na
Marc Exavier/m
Marc Léo Laroche/na
Margaret Mitchell Armand/na
Margaret Papillon/na
Marie Alice Théard/f
Marie Célie Agnant/f
Marie Soeurette Mathieu/f
Marie-Thérèse Colimon Hall/na
Marie Vieux Chauvet/na
Mario Blaise/na
Marlène Rigaud Apollon/na
Martine Milard/na
Massillon Coicou/na
Maude Heurtelou/na
Maurice Casséus/na
Maurice Sixto/na
Maximilien Laroche/na
Max Dorsinville/na
Mayotte Capécia/na
Mehdi Chalmers/na
Michele Cazanove/na
Michèle Voltaire Marcelin/na
Michel Monnin/na
Mimi Barthélémy/f
Miriam Neptune/na
Mona Guérin/f
Nadine Magloire/na
Nassur Attoumani/na
Néhémy Pierre-Dahomey/na
Nirvah Desinor/na
Obrillant Damus/na
Odette Roy Fombrun/na
Oswald Durand/m
Paulette Poujol Oriol/na
Paul Laraque/m
Peter Frisch/na
Philippe Thoby Marcelin/m
Pierre Clitandre/na
Rafaël Lucas/na
Rassoul Labuchin/m
Raymond Chassagne/na
René Bélance/m
René Depestre/m
René Philoctète/m
Rhoddy Attilus/na
Richardson Dorvil/na
Robert Berrouët Oriol/m
Rodianco Fils Azor/na
Rodney Saint Éloi/m
Roger Dorsinville/na
Roland Morisseau/m
Roland Paret/m
Romel Chery/na
Roussan Camille/m
Saint-John Kauss/na
Serge Legagneur/na
Soeuf Elbadawi/na
Sophia Désir/na
Stanley Péan/m
Stéphane Martelly/na
Stephen Alexis/na
Suzanne Comhaire-Sylvain/na
Syto Cavé/na
Théard Marie Alice/f
Verly Dabel/na
Voegeli Juste-Constant/na
Wébert CHARLES /na
Wiener Kerns Fleurimond/na
Willems Édouard/na
WInnie Hugot Gabriel Duvil/na
Yanick François/na
Yanick Jean/na
Yanick Lahens/f
