Nom Prénom$n°BNF$n°VIAF$n°dbpedia 
Accilien, Selmy$cb17069496h#about$$
Alex Laguerre$$$
Alix Renaud$$$
Anaïse Chavenet$$$
Anderson Dovilas$cb16165586j#about$103240820$
André Fouad$$$
Angelucci Manigat$$$
Ange Bellie Andou$$$
Anténor Firmin$$$
Anthony Phelps$cb12029825k#about$27080479$Anthony_Phelps
Antoine Innocent$$$
Apollon, Pascal$cb17784900f#about$$
Barbara Bastien$$$
Boisrond-Tonnerre$$$
Bonel Auguste$cb166880985#about$304726217$
Carl Brouard$$$
Cauvin Paul$$$
Cécile Accilien$$$
Charles Edward Caplife$$$
Christie Binette$$$
Christophe Charles$cb16454609f#about$305890446$
Cléante Valcin$cb12758634k#about$107035071$
Clément Magloire-Saint-Aude$$$
Clervoyant Dieurat$$$
Cocks, Georges$cb161802669#about$$
Constant Jeanty$$$
Coutechève Lavoie Aupont$$$
Dantès Bellegarde$cb12179005z#about$46803770$Dantès_Louis_Bellegarde
Dany Laferrière$cb12096478s#about$87061403$Dany_Laferrière
Davertige$$$
Déita$$$
Démesvar Delorme$cb10431814m#about$48340282$Jean_Demesvar_Delorme
Denizé Lauture$$$
Dimitri Elias Léger$$$
Dominique Batraville$cb145697645#about$34700403$Dominique_Batraville
Duccha$$$
Edgard Gousse$$$
Edmond Laforest$$$
Édris Saint Amand$$$
Edwidge Danticat$cb125106512#about$$
Edwige Danticat$$$
Elie Fleurant$$$
Elodie Barthélémy$$$
Elsie Augustave$$$
Elsie Suréna$cb162671147#about$122176630$
Elvire Maurouard$cb13762676d#about$$
Emeline Michel$$$
Émeric Bergeaud$cb13014654b#about$95333117$Emeric_Bergeaud
Emile Célestin-Mégie$$$
Émile Ollivier$cb12004517h#about$87423596$Émile_Ollivier_(écrivain)
Émile Roumer$cb11922844k#about$264763430$Émile_Roumer
Émilie Franz$cb157797954#about$39710095$
Emilio Merisier$$$
Emmanuel Buriez$$$
Emmanuel Eugène$$$
Emmelie Prophète$cb16267107z#about$47904412$Emmelie_Prophète
Etzer Vilaire$cb14406844p#about$34671219$Etzer_Vilaire
Évelyne Trouillot$cb13083631w#about$59220009$Évelyne_Trouillot
Fabian Charles$$$
Fabienne Pasquet$$$
Fednel Alexandre$$$
Félix Morisseau-Leroy$$$
Fernand Hibbert$$$
Franck Fouché$$$
Frankétienne$$$
Frantz-Antoine Leconte$$$
Frantz Carly$$$
Frantz Dominique Batraville$$$
Franz Benjamin$cb156079947#about$69253640$
Frederic Marcelin$$$
Fred Edson Lafortune$$$
Gary Augustin$$$
Gary Klang$cb12723297j#about$56734287$Gary_Klang
Gary Victor$cb13517818m#about$6109517$Gary_Victor
Geneviève Gaillard-Vanté$$$
Georges Anglade$cb12792233h#about$39504226$Georges_Anglade
Georges Castera$cb12304276q#about$7456457$Georges_Castera
Georges Sylvain$cb11088759g#about$71383533$Georges_Sylvain
Gérald Bloncourt$cb14553548q#about$2710821$Gérald_Bloncourt
Gérard Chenet$$$
Gérard Étienne$cb16277470r#about$170176897$Gérard_Étienne
Gesner Jean Gilles$$$
Giscard Bouchotte$$$
Guetty Felin$$$
